query_id;subject_id;dN;dS;dNdS
Carubv10000018m;Medtr1g037310.1;0.2788;1.416;0.1969
Carubv10000020m;Medtr2g007250.1;0.447;2.069;0.216
Carubv10000021m;Medtr7g077700.1;0.2912;1.569;0.1856
Carubv10000022m;Medtr6g016215.1;0.08421;1.399;0.06018
Carubv10000023m;Medtr7g061540.3;0.3889;1.677;0.232
Carubv10000025m;Medtr3g086770.1;0.3238;1.797;0.1802
Carubv10000026m;Medtr7g089970.1;0.0999;1.305;0.07653
Carubv10000027m;Medtr6g015060.1;0.246;1.493;0.1647
Carubv10000028m;Medtr4g076180.1;0.4849;1.474;0.329
Carubv10000030m;Medtr1g008050.1;0.4918;NA;NA
Carubv10000031m;Medtr4g125690.1;0.1078;1.234;0.08741
Carubv10000032m;Medtr7g090500.3;0.6605;NA;NA
Carubv10000033m;Medtr8g088370.1;0.3183;1.552;0.2051
Carubv10000034m;Medtr7g087490.2;0.5409;1.846;0.293
Carubv10000037m;Medtr4g015850.1;0.2892;1.293;0.2237
Carubv10000038m;Medtr8g098950.1;0.3352;1.439;0.2329
Carubv10000039m;Medtr1g111560.1;0.4926;2.197;0.2243
Carubv10000040m;Medtr4g075060.1;0.4502;2.13;0.2113
Carubv10000043m;Medtr1g037460.1;0.5595;2.313;0.2419
Carubv10000045m;Medtr2g020380.1;0.2192;1.679;0.1305
Carubv10000047m;Medtr1g087290.2;0.4889;1.889;0.2588
Carubv10000048m;Medtr7g109470.1;0.2687;1.499;0.1792
Carubv10000050m;Medtr1g115300.1;0.3012;1.827;0.1649
Carubv10000051m;Medtr1g094740.1;0.397;2.231;0.178
Carubv10000053m;Medtr7g116590.1;0.08778;1.361;0.06448
Carubv10000054m;Medtr1g066940.7;0.325;1.748;0.1859
Carubv10000055m;Medtr7g106380.1;0.2954;1.694;0.1744
Carubv10000056m;Medtr2g040970.3;0.3581;2.405;0.1489
Carubv10000059m;Medtr4g088965.1;0.1731;1.179;0.1468
Carubv10000060m;Medtr2g098440.1;0.139;1.878;0.07398
Carubv10000061m;Medtr3g053000.1;0.5271;2.117;0.249
Carubv10000063m;Medtr7g114260.1;0.2397;1.395;0.1718
Carubv10000065m;Medtr4g124900.1;0.217;2.413;0.08991
Carubv10000067m;Medtr8g095490.1;0.3836;1.52;0.2524
Carubv10000068m;Medtr1g100787.1;0.2662;1.953;0.1363
Carubv10000069m;Medtr1g115950.3;0.7125;NA;NA
Carubv10000070m;Medtr6g093240.1;0.2579;1.549;0.1665
Carubv10000071m;Medtr1g012980.1;0.158;1.547;0.1021
Carubv10000072m;Medtr2g091015.1;0.6895;NA;NA
Carubv10000075m;Medtr6g008850.1;0.177;1.856;0.0954
Carubv10000076m;Medtr4g106660.1;0.292;2.318;0.126
Carubv10000077m;Medtr8g044260.1;0.1081;1.472;0.07346
Carubv10000080m;Medtr4g076850.1;0.1477;1.505;0.09812
Carubv10000082m;Medtr4g083460.1;0.3319;1.441;0.2303
Carubv10000083m;Medtr7g006760.1;0.2435;1.811;0.1345
Carubv10000085m;Medtr8g085950.1;0.1043;1.452;0.07178
Carubv10000086m;Medtr7g113180.1;0.4385;1.764;0.2486
Carubv10000087m;Medtr8g093570.1;0.1746;1.722;0.1014
Carubv10000088m;Medtr7g068810.1;0.4348;2.177;0.1997
Carubv10000090m;Medtr5g089900.1;0.1163;1.199;0.09697
Carubv10000091m;Medtr5g009530.5;0.3787;1.739;0.2177
Carubv10000092m;Medtr3g110132.1;0.6632;2.168;0.306
Carubv10000093m;Medtr8g089380.1;0.05549;1.389;0.03996
Carubv10000095m;Medtr4g077660.2;0.08152;1.563;0.05215
Carubv10000096m;Medtr3g064470.1;0.1968;1.682;0.117
Carubv10000098m;Medtr1g492710.1;0.2544;1.613;0.1578
Carubv10000102m;Medtr3g118040.1;0.1132;1.332;0.08499
Carubv10000106m;Medtr8g027160.3;0.1407;1.747;0.08055
Carubv10000107m;Medtr6g028050.1;0.2238;3.161;0.0708
