query_id;subject_id;dN;dS;dNdS
Thhalv10000006m;Medtr3g108360.1;0.203;1.501;0.1352
Thhalv10000007m;Medtr8g091470.1;0.1279;1.332;0.09607
Thhalv10000008m;Medtr1g010300.1;0.2525;1.4;0.1804
Thhalv10000009m;Medtr3g106700.1;0.172;1.305;0.1318
Thhalv10000012m;Medtr5g018850.3;0.3431;2.084;0.1646
Thhalv10000014m;Medtr3g106210.4;0.2274;1.496;0.152
Thhalv10000015m;Medtr3g094770.2;0.2215;1.511;0.1466
Thhalv10000020m;Medtr1g013800.1;0.2223;1.535;0.1448
Thhalv10000025m;Medtr5g031470.1;0.2678;1.44;0.1859
Thhalv10000031m;Medtr3g106160.1;0.1318;1.813;0.07268
Thhalv10000032m;Medtr5g032210.1;0.314;2.088;0.1504
Thhalv10000033m;Medtr5g087320.1;0.5774;1.924;0.3002
Thhalv10000038m;Medtr5g016870.1;0.222;1.725;0.1287
Thhalv10000039m;Medtr5g018510.1;0.2072;1.631;0.1271
Thhalv10000040m;Medtr4g094848.1;0.3861;1.882;0.2051
Thhalv10000041m;Medtr8g079040.1;0.1799;1.628;0.1105
Thhalv10000043m;Medtr4g071900.5;0.2772;2.407;0.1152
Thhalv10000045m;Medtr4g130920.1;0.2118;1.34;0.1581
Thhalv10000046m;Medtr5g030890.3;0.3493;1.765;0.1978
Thhalv10000047m;Medtr3g466220.3;0.2977;1.684;0.1768
Thhalv10000048m;Medtr4g071070.1;0.1357;2.351;0.05773
Thhalv10000050m;Medtr8g089980.1;0.248;1.549;0.1601
Thhalv10000051m;Medtr3g109100.1;0.2648;1.735;0.1526
Thhalv10000052m;Medtr3g045460.2;0.7426;NA;NA
Thhalv10000053m;Medtr1g103840.1;0.2448;1.564;0.1565
Thhalv10000055m;Medtr4g094958.1;0.2759;1.622;0.1701
Thhalv10000056m;Medtr8g011270.1;0.187;1.659;0.1127
Thhalv10000060m;Medtr3g109030.1;0.181;3.856;0.04694
Thhalv10000061m;Medtr3g105430.1;0.1466;1.545;0.09488
Thhalv10000062m;Medtr1g071240.1;0.3578;1.814;0.1972
Thhalv10000066m;Medtr5g018570.1;0.3103;2.353;0.1319
Thhalv10000072m;Medtr1g105890.1;0.5995;2.597;0.2308
Thhalv10000077m;Medtr5g021230.1;0.1583;2.154;0.07351
Thhalv10000078m;Medtr3g106900.2;0.1217;2.141;0.05685
Thhalv10000080m;Medtr5g030610.1;0.4338;3.048;0.1423
Thhalv10000081m;Medtr4g130210.1;0.1913;1.74;0.1099
Thhalv10000082m;Medtr3g117100.1;0.1514;1.922;0.0788
Thhalv10000083m;Medtr5g042450.2;0.4944;NA;NA
Thhalv10000084m;Medtr8g102580.1;0.2838;NA;NA
Thhalv10000085m;Medtr4g070060.1;0.2542;2.626;0.09677
Thhalv10000086m;Medtr6g059870.1;0.4184;1.847;0.2265
Thhalv10000087m;Medtr1g012520.1;0.284;1.572;0.1806
Thhalv10000088m;Medtr1g014680.1;0.3226;1.679;0.1922
Thhalv10000089m;Medtr8g037355.1;0.1797;1.612;0.1115
Thhalv10000090m;Medtr5g031720.1;0.5473;1.564;0.3498
Thhalv10000091m;Medtr5g019050.1;0.4468;1.949;0.2292
Thhalv10000093m;Medtr8g091280.1;0.1869;1.824;0.1024
Thhalv10000094m;Medtr2g048855.1;0.3344;NA;NA
Thhalv10000095m;Medtr5g015300.1;0.227;1.536;0.1478
Thhalv10000098m;Medtr3g106220.1;0.4245;NA;NA
Thhalv10000103m;Medtr1g012370.3;0.2648;1.385;0.1913
Thhalv10000104m;Medtr8g092300.1;0.3222;2.13;0.1513
Thhalv10000107m;Medtr4g071370.1;0.2446;1.812;0.1349
Thhalv10000109m;Medtr4g094805.1;0.123;1.317;0.09341
Thhalv10000110m;Medtr4g129920.1;0.1643;1.55;0.106
Thhalv10000113m;Medtr3g105820.1;0.2029;NA;NA
Thhalv10000115m;Medtr3g117090.1;0.236;1.993;0.1184
Thhalv10000116m;Medtr4g073400.1;0.1472;1.891;0.0778
Thhalv10000118m;Medtr4g071230.1;0.245;2.357;0.104
Thhalv10000120m;Medtr7g090710.1;0.1966;1.773;0.1109
Thhalv10000124m;Medtr1g017490.1;0.4241;NA;NA
Thhalv10000126m;Medtr8g092050.1;0.2488;1.936;0.1285
Thhalv10000127m;Medtr4g130860.1;0.1202;1.354;0.08873
Thhalv10000132m;Medtr5g016270.1;0.1238;2.338;0.05297
Thhalv10000134m;Medtr3g087590.1;0.06151;1.601;0.03842
Thhalv10000137m;Medtr3g053700.1;0.2507;1.509;0.1662
Thhalv10000143m;Medtr7g105400.1;0.4263;NA;NA
Thhalv10000149m;Medtr4g073770.1;0.07612;1.903;0.04
Thhalv10000150m;Medtr3g108990.1;0.2436;2.034;0.1197
Thhalv10000151m;Medtr3g109950.1;0.2092;NA;NA
Thhalv10000154m;Medtr8g068360.1;0.3691;3.414;0.1081
Thhalv10000159m;Medtr1g010210.1;0.2204;2.82;0.07816
