query_id;subject_id;dN;dS;dNdS
Carubv10000018m;lcl|NW_010966177.1_cds_XP_010547717.1_22344;0.1205;0.5594;0.2154
Carubv10000020m;lcl|NW_010965541.1_cds_XP_010541524.1_16763;0.1856;0.623;0.2978
Carubv10000021m;lcl|NW_010967707.1_cds_XP_010556527.1_30176;0.1514;0.6374;0.2376
Carubv10000022m;lcl|NW_010970490.1_cds_XP_010525127.1_38560;0.04223;0.6204;0.06807
Carubv10000023m;lcl|NW_010965775.1_cds_XP_010543302.1_18347;0.1864;0.6397;0.2914
Carubv10000024m;lcl|NW_010965775.1_cds_XP_010543601.1_18633;0.2506;0.6197;0.4044
Carubv10000025m;lcl|NW_010968173.1_cds_XP_010519140.1_33145;0.1819;0.6967;0.2611
Carubv10000026m;lcl|NW_010965775.1_cds_XP_010543537.1_18567;0.05564;0.691;0.08052
Carubv10000027m;lcl|NW_010966372.1_cds_XP_010550010.1_24326;0.1252;0.634;0.1975
Carubv10000028m;lcl|NW_010965304.1_cds_XP_010536112.1_11950;0.2282;0.6275;0.3637
Carubv10000030m;lcl|NW_010968505.1_cds_XP_010519440.1_33407;0.2945;0.985;0.299
Carubv10000031m;lcl|NW_010965304.1_cds_XP_010535820.1_11681;0.04995;0.5693;0.08774
Carubv10000032m;lcl|NW_010966881.1_cds_XP_010552979.1_26954;0.3499;1.276;0.2741
Carubv10000033m;lcl|NW_010969548.1_cds_XP_010522778.1_36452;0.1573;0.8617;0.1825
Carubv10000034m;lcl|NW_010970490.1_cds_XP_010525007.1_38436;0.2428;0.6654;0.3648
Carubv10000037m;lcl|NW_010965775.1_cds_XP_010543208.1_18253;0.1693;0.5504;0.3077
Carubv10000038m;lcl|NW_010960187.1_cds_XP_010541225.1_1886;0.1713;0.6488;0.2641
Carubv10000039m;lcl|NW_010965775.1_cds_XP_010543566.1_18596;0.2535;1.061;0.239
Carubv10000040m;lcl|NW_010966177.1_cds_XP_010548830.1_22342;0.2748;0.5898;0.466
Carubv10000044m;lcl|NW_010967707.1_cds_XP_010558783.1_32349;0.07951;1.152;0.069
Carubv10000045m;lcl|NW_010966177.1_cds_XP_010548785.1_21588;0.09334;0.6792;0.1374
Carubv10000046m;lcl|NW_010968505.1_cds_XP_010520493.1_34421;0.1565;0.9304;0.1682
Carubv10000047m;lcl|NW_010965696.1_cds_XP_010542843.1_17968;0.3176;0.8292;0.383
Carubv10000048m;lcl|NW_010967707.1_cds_XP_010556697.1_30340;0.141;0.7328;0.1923
Carubv10000050m;lcl|NW_010968505.1_cds_XP_010520123.1_34067;0.1393;0.7781;0.179
Carubv10000051m;lcl|NW_010965775.1_cds_XP_010543545.1_18578;0.2105;0.712;0.2957
Carubv10000053m;lcl|NW_010966372.1_cds_XP_010549637.1_23977;0.03601;0.5851;0.06154
Carubv10000054m;lcl|NW_010965775.1_cds_XP_010543365.1_18407;0.1582;0.6857;0.2307
Carubv10000055m;lcl|NW_010966372.1_cds_XP_010549892.1_24217;0.1246;0.5392;0.2311
Carubv10000056m;lcl|NW_010968505.1_cds_XP_010520539.1_34464;0.1907;0.8638;0.2207
Carubv10000057m;lcl|NW_010960187.1_cds_XP_010543099.1_2082;0.3262;0.7429;0.4391
Carubv10000058m;lcl|NW_010965304.1_cds_XP_010535835.1_11692;0.1575;1.334;0.118
Carubv10000059m;lcl|NW_010960187.1_cds_XP_010538614.1_1619;0.07694;0.5949;0.1294
Carubv10000060m;lcl|NW_010966274.1_cds_XP_010549287.1_23669;0.09604;0.7929;0.1211
Carubv10000061m;lcl|NW_010966665.1_cds_XP_010551840.1_25950;0.2453;0.8035;0.3053
Carubv10000063m;lcl|NW_010966542.1_cds_XP_010550956.1_25152;0.09742;0.5546;0.1757
Carubv10000064m;lcl|NW_010966092.1_cds_XP_010546166.1_20905;0.1714;0.6388;0.2684
Carubv10000065m;lcl|NW_010965541.1_cds_XP_010541684.1_16920;0.1192;1.005;0.1187
Carubv10000067m;lcl|NW_010966092.1_cds_XP_010546118.1_20858;0.1977;0.5719;0.3457
Carubv10000068m;lcl|NW_010960188.1_cds_XP_010523517.1_3963;0.152;0.9701;0.1567
Carubv10000069m;lcl|NW_010968505.1_cds_XP_010520151.1_34096;0.3732;0.7147;0.5222
Carubv10000070m;lcl|NW_010966177.1_cds_XP_010546803.1_21480;0.1294;0.8201;0.1578
Carubv10000071m;lcl|NW_010968505.1_cds_XP_010519641.1_33609;0.06593;0.5876;0.1122
Carubv10000072m;lcl|NW_010966177.1_cds_XP_010546648.1_21326;0.4845;1.217;0.3982
Carubv10000074m;lcl|NW_010967707.1_cds_XP_010558397.1_31990;0.4148;0.8371;0.4954
Carubv10000075m;lcl|NW_010966372.1_cds_XP_010550271.1_24411;0.07788;0.7886;0.09876
Carubv10000076m;lcl|NW_010966092.1_cds_XP_010546021.1_20765;0.1653;0.966;0.1711
Carubv10000077m;lcl|NW_010967707.1_cds_XP_010558246.1_31844;0.07804;0.7965;0.09799
Carubv10000080m;lcl|NW_010960188.1_cds_XP_010525919.1_4218;0.08672;0.6462;0.1342
Carubv10000081m;lcl|NW_010962392.1_cds_XP_010529549.1_6116;0.1373;0.5791;0.2371
Carubv10000082m;lcl|NW_010960188.1_cds_XP_010521561.1_3772;0.1373;0.6269;0.219
