query_id;subject_id;dN;dS;dNdS
AT1G01040.1.1;MA_10437243g0020;0.2123;NA;NA
AT1G01050.2.1;MA_93206g0010;0.1123;1.227;0.09151
AT1G01060.4.1;MA_11267g0020;0.5663;NA;NA
AT1G01090.1.1;MA_10426096g0010;0.1552;1.818;0.08535
AT1G01120.1.1;MA_105806g0010;0.2567;NA;NA
AT1G01150.3.1;MA_10427859g0010;0.6042;NA;NA
AT1G01170.2.1;MA_18715g0010;0.4233;NA;NA
AT1G01180.1.1;MA_161300g0010;0.7416;NA;NA
AT1G01230.1.1;MA_17729g0030;0.09769;NA;NA
AT1G01240.5.1;MA_7395255g0010;0.665;NA;NA
AT1G01260.3.1;MA_4076g0010;0.4923;NA;NA
AT1G01280.1.1;MA_54958g0010;0.5029;NA;NA
AT1G01290.2.1;MA_10008335g0010;0.2629;NA;NA
AT1G01350.1.1;MA_67616g0010;0.2443;NA;NA
AT1G01430.1.1;MA_10427759g0010;0.4754;NA;NA
AT1G01470.1.1;MA_121405g0010;0.4884;2.386;0.2047
AT1G01490.2.1;MA_9495805g0010;0.5633;NA;NA
AT1G01500.1.1;MA_67226g0010;0.5241;NA;NA
AT1G01510.1.1;MA_10427423g0010;0.2298;2.751;0.08354
AT1G01540.2.1;MA_174750g0010;0.2533;NA;NA
AT1G01590.1.1;MA_76199g0010;0.5643;NA;NA
AT1G01630.1.1;MA_10436957g0010;0.3566;NA;NA
AT1G01710.1.1;MA_62162g0010;0.3602;1.522;0.2366
AT1G01720.1.1;MA_8980g0010;0.3129;NA;NA
AT1G01760.3.1;MA_59505g0010;0.77;NA;NA
AT1G01770.1.1;MA_147427g0010;0.3274;1.821;0.1798
AT1G01790.2.1;MA_10432335g0010;0.09034;1.826;0.04948
AT1G01800.1.1;MA_10430538g0010;0.6162;NA;NA
AT1G01820.1.1;MA_5289g0010;0.155;2.066;0.07502
AT1G01860.2.1;MA_9596439g0010;0.2488;1.714;0.1452
AT1G01880.3.1;MA_10432278g0010;0.3903;2.195;0.1778
AT1G01910.3.1;MA_10431825g0010;0.1315;2.896;0.0454
AT1G01910.5.1;MA_10430576g0010;0.1952;3.142;0.06213
AT1G01920.3.1;MA_36712g0010;0.4081;NA;NA
AT1G01920.4.1;MA_505781g0010;0.37;1.388;0.2666
AT1G01930.1.1;MA_112930g0010;0.4841;NA;NA
AT1G01940.1.1;MA_85981g0010;0.05297;NA;NA
AT1G01950.4.1;MA_31083g0010;0.1198;2.106;0.05686
AT1G02000.1.1;MA_52380g0010;0.1898;NA;NA
AT1G02020.1.1;MA_10437155g0010;0.3541;2.708;0.1308
AT1G02020.3.1;MA_10437155g0020;0.4024;3.42;0.1177
AT1G02060.1.1;MA_10431553g0010;0.5329;NA;NA
AT1G02065.1.1;MA_3179g0020;0.3858;NA;NA
AT1G02080.2.1;MA_42843g0010;0.3496;2.38;0.1469
AT1G02090.2.1;MA_247876g0010;0.2352;2.183;0.1077
AT1G02110.1.1;MA_10426522g0020;0.3985;NA;NA
AT1G02120.1.1;MA_10430870g0010;0.7747;NA;NA
AT1G02120.3.1;MA_10434752g0010;0.4911;NA;NA
AT1G02130.1.1;MA_20251g0010;0.1714;NA;NA
AT1G02140.1.1;MA_10426266g0010;0.1451;NA;NA
AT1G02145.2.1;MA_9962241g0010;0.2664;1.645;0.162
AT1G02170.1.1;MA_183122g0010;0.3517;NA;NA
AT1G02180.1.1;MA_15462g0010;0.458;NA;NA
AT1G02205.2.1;MA_11144g0010;0.4612;NA;NA
AT1G02260.2.1;MA_10430496g0010;0.2825;NA;NA
