query_id;subject_id;dN;dS;dNdS
Carubv10000012m;Thhalv10014345m;0.09678;0.309;0.3133
Carubv10000018m;Thhalv10003499m;0.04742;0.2304;0.2058
Carubv10000020m;Thhalv10003500m;0.07744;0.2415;0.3206
Carubv10000021m;Thhalv10028357m;0.08072;0.291;0.2774
Carubv10000022m;Thhalv10012410m;0.01174;0.2312;0.05075
Carubv10000023m;Thhalv10012411m;0.07976;0.2253;0.354
Carubv10000025m;Thhalv10012419m;0.08624;0.2835;0.3042
Carubv10000026m;Thhalv10012425m;0.01911;0.313;0.06106
Carubv10000027m;Thhalv10012417m;0.04597;0.2471;0.1861
Carubv10000028m;Thhalv10012427m;0.1031;0.275;0.375
Carubv10000029m;Thhalv10003513m;0.1573;0.3939;0.3994
Carubv10000030m;Thhalv10003512m;0.1177;0.3666;0.3212
Carubv10000031m;Thhalv10012431m;0.01931;0.2125;0.09086
Carubv10000032m;Thhalv10012432m;0.1271;0.2987;0.4256
Carubv10000033m;Thhalv10028361m;0.07003;0.2841;0.2465
Carubv10000034m;Thhalv10012439m;0.08531;0.2655;0.3213
Carubv10000037m;Thhalv10012442m;0.07738;0.2374;0.3259
Carubv10000038m;Thhalv10028363m;0.06708;0.2816;0.2382
Carubv10000039m;Thhalv10015856m;0.1015;0.3476;0.2922
Carubv10000040m;Thhalv10003519m;0.1035;0.2334;0.4433
Carubv10000043m;Thhalv10012451m;0.1572;0.3357;0.4683
Carubv10000044m;Thhalv10012443m;0.01756;0.3761;0.04669
Carubv10000045m;Thhalv10012450m;0.03888;0.2594;0.1499
Carubv10000046m;Thhalv10012448m;0.07013;0.3557;0.1971
Carubv10000047m;Thhalv10028365m;0.1291;0.2594;0.4977
Carubv10000048m;Thhalv10028364m;0.05773;0.3077;0.1876
Carubv10000050m;Thhalv10012453m;0.05623;0.2575;0.2183
Carubv10000051m;Thhalv10012447m;0.09713;0.2696;0.3603
Carubv10000053m;Thhalv10012457m;0.009839;0.2818;0.03492
Carubv10000054m;Thhalv10012436m;0.06607;0.2987;0.2212
Carubv10000055m;Thhalv10012466m;0.05403;0.2186;0.2472
Carubv10000056m;Thhalv10012496m;0.07983;0.2902;0.2751
Carubv10000057m;Thhalv10029299m;0.1497;0.3251;0.4605
Carubv10000058m;Thhalv10012460m;0.08292;0.3825;0.2168
Carubv10000059m;Thhalv10028367m;0.0259;0.2676;0.0968
Carubv10000060m;Thhalv10012468m;0.02459;0.2692;0.09136
Carubv10000061m;Thhalv10012473m;0.1094;0.3444;0.3175
Carubv10000062m;Thhalv10028372m;0.1008;0.2981;0.338
Carubv10000063m;Thhalv10003536m;0.04938;0.249;0.1983
Carubv10000064m;Thhalv10012481m;0.08699;0.2643;0.3291
Carubv10000065m;Thhalv10012513m;0.04395;0.2982;0.1474
Carubv10000067m;Thhalv10012509m;0.09764;0.2861;0.3413
Carubv10000068m;Thhalv10012465m;0.08607;0.4822;0.1785
Carubv10000069m;Thhalv10012490m;0.1873;0.3003;0.6236
Carubv10000070m;Thhalv10003634m;0.05343;0.3324;0.1607
Carubv10000071m;Thhalv10012483m;0.0207;0.2396;0.08638
Carubv10000072m;Thhalv10003597m;0.2248;0.3889;0.578
Carubv10000074m;Thhalv10012471m;0.1561;0.3061;0.5097
Carubv10000075m;Thhalv10012487m;0.032;0.3355;0.09537
Carubv10000076m;Thhalv10028370m;0.0671;0.3693;0.1817
Carubv10000077m;Thhalv10012492m;0.02834;0.2752;0.103
Carubv10000080m;Thhalv10027624m;0.06213;0.3418;0.1818
Carubv10000081m;Thhalv10028371m;0.05483;0.2774;0.1976
Carubv10000082m;Thhalv10012497m;0.0641;0.2732;0.2347
Carubv10000083m;Thhalv10012499m;0.02952;0.2952;0.1
Carubv10000084m;Thhalv10012525m;0.0457;0.3019;0.1514
Carubv10000085m;Thhalv10012502m;0.01241;0.327;0.03796
Carubv10000086m;Thhalv10003560m;0.1106;0.323;0.3424
Carubv10000088m;Thhalv10012508m;0.05537;0.2404;0.2303
Carubv10000090m;Thhalv10012507m;0.02812;0.2262;0.1243
Carubv10000091m;Thhalv10028383m;0.09051;0.2986;0.3031
Carubv10000092m;Thhalv10015703m;0.227;0.4717;0.4814
Carubv10000093m;Thhalv10028374m;0.008253;0.2817;0.0293
Carubv10000094m;Thhalv10012520m;0.02186;0.2543;0.08596
Carubv10000095m;Thhalv10012517m;0.01379;0.2355;0.05857
Carubv10000096m;Thhalv10028378m;0.05452;0.3385;0.1611
Carubv10000097m;Thhalv10012527m;0.02611;0.2643;0.09876
Carubv10000098m;Thhalv10012518m;0.03863;0.2561;0.1508
Carubv10000099m;Thhalv10012521m;0.02285;0.3824;0.05976
Carubv10000100m;Thhalv10023232m;0.2396;0.7;0.3423
Carubv10000101m;Thhalv10012530m;0.01492;0.232;0.06433
Carubv10000102m;Thhalv10012531m;0.01494;0.2321;0.06436
Carubv10000106m;Thhalv10028380m;0.03024;0.3446;0.08775
Carubv10000107m;Thhalv10012529m;0.04641;0.4228;0.1098
Carubv10000108m;Thhalv10012532m;0.09983;0.2424;0.4119
Carubv10000109m;Thhalv10012536m;0.02502;0.2801;0.08932
Carubv10000110m;Thhalv10003625m;0.03584;0.4746;0.07551
Carubv10000111m;Thhalv10012534m;0.0504;0.3275;0.1539
Carubv10000112m;Thhalv10028384m;0.04031;0.2746;0.1468
Carubv10000113m;Thhalv10012643m;0.02974;0.3731;0.0797
Carubv10000114m;Thhalv10012611m;0.06679;0.3439;0.1942
Carubv10000115m;Thhalv10015665m;0.06335;0.249;0.2544
Carubv10000116m;Thhalv10003569m;0.06974;0.3362;0.2075
Carubv10000117m;Thhalv10012533m;0.09399;0.2466;0.3811
Carubv10000118m;Thhalv10012541m;0.0409;0.2394;0.1708
Carubv10000119m;Thhalv10012538m;0.01641;0.2452;0.0669
Carubv10000120m;Thhalv10012552m;0.07773;0.2311;0.3364
Carubv10000121m;Thhalv10012553m;0.03765;0.2951;0.1276
Carubv10000122m;Thhalv10012547m;0.04762;0.2469;0.1929
Carubv10000123m;Thhalv10012551m;0.08945;0.2733;0.3273
Carubv10000124m;Thhalv10028381m;0.09481;0.4593;0.2064
Carubv10000128m;Thhalv10028387m;0.04531;0.2875;0.1576
Carubv10000131m;Thhalv10028388m;0.07549;0.4428;0.1705
Carubv10000132m;Thhalv10003585m;0.09145;0.3668;0.2493
Carubv10000134m;Thhalv10005503m;0.1582;0.3605;0.4389
Carubv10000135m;Thhalv10003583m;0.137;0.2655;0.5157
Carubv10000136m;Thhalv10028391m;0.05741;0.3305;0.1737
Carubv10000137m;Thhalv10012565m;0.03668;0.2734;0.1342
Carubv10000138m;Thhalv10001296m;0.0545;0.2573;0.2118
Carubv10000139m;Thhalv10003600m;0.06271;0.3716;0.1688
Carubv10000140m;Thhalv10028402m;0.05227;0.3427;0.1525
Carubv10000142m;Thhalv10006688m;0.01717;0.3675;0.04672
Carubv10000143m;Thhalv10028394m;0.09093;0.2706;0.336
Carubv10000146m;Thhalv10012570m;0.03462;0.237;0.146
Carubv10000147m;Thhalv10012575m;0.04654;0.2373;0.1962
Carubv10000148m;Thhalv10028396m;0.03102;0.2588;0.1199
Carubv10000149m;Thhalv10012577m;0.02274;0.1769;0.1285
Carubv10000150m;Thhalv10003596m;0.1474;0.2644;0.5574
Carubv10000151m;Thhalv10012593m;0.01509;0.3123;0.04833
Carubv10000153m;Thhalv10012585m;0.05351;0.252;0.2124
Carubv10000154m;Thhalv10012615m;0.07969;0.3215;0.2479
Carubv10000155m;Thhalv10012583m;0.08702;0.2551;0.3411
Carubv10000156m;Thhalv10012587m;0.04499;0.2328;0.1933
Carubv10000157m;Thhalv10003608m;0.05944;0.2401;0.2475
Carubv10000158m;Thhalv10012594m;0.1044;0.2614;0.3994
Carubv10000159m;Thhalv10012602m;0.04766;0.3891;0.1225
Carubv10000160m;Thhalv10012598m;0.06693;0.2808;0.2383
Carubv10000161m;Thhalv10003616m;0.04002;0.3004;0.1332
Carubv10000162m;Thhalv10012605m;0.08409;0.3224;0.2608
Carubv10000163m;Thhalv10028425m;0.05231;0.4178;0.1252
Carubv10000164m;Thhalv10003593m;0.03366;0.2777;0.1212
Carubv10000165m;Thhalv10028404m;0.0693;0.2998;0.2312
Carubv10000166m;Thhalv10012624m;0.1001;0.4228;0.2367
Carubv10000167m;Thhalv10015316m;0.1066;0.2634;0.4046
Carubv10000168m;Thhalv10028405m;0.0436;0.3585;0.1216
Carubv10000169m;Thhalv10012646m;0.06645;0.2553;0.2603
Carubv10000170m;Thhalv10024352m;0.05828;0.2648;0.2201
Carubv10000171m;Thhalv10028393m;0.2465;0.7038;0.3502
Carubv10000172m;Thhalv10012619m;0.06116;0.3021;0.2025
Carubv10000173m;Thhalv10012639m;0.1553;0.3171;0.4899
Carubv10000174m;Thhalv10028407m;0.01728;0.318;0.05432
Carubv10000175m;Thhalv10012627m;0.06894;0.2606;0.2646
Carubv10000176m;Thhalv10012634m;0.08411;0.3962;0.2123
Carubv10000177m;Thhalv10012635m;0.1231;0.3249;0.3788
Carubv10000178m;Thhalv10028409m;0.1444;0.3414;0.4229
Carubv10000179m;Thhalv10012637m;0.06202;0.3237;0.1916
Carubv10000180m;Thhalv10028420m;0.06005;0.3021;0.1988
Carubv10000181m;Thhalv10012633m;0.05432;0.2806;0.1936
Carubv10000182m;Thhalv10028415m;0.02791;0.244;0.1144
Carubv10000183m;Thhalv10028410m;0.0288;0.4294;0.06707
Carubv10000184m;Thhalv10012640m;0.03734;0.2569;0.1454
Carubv10000185m;Thhalv10012636m;0.03958;0.2823;0.1402
Carubv10000186m;Thhalv10028412m;0.1637;0.5068;0.323
Carubv10000187m;Thhalv10003683m;0.07753;0.2988;0.2595
Carubv10000188m;Thhalv10012569m;0.04992;0.3555;0.1404
Carubv10000189m;Thhalv10003657m;0.04921;0.3512;0.1401
Carubv10000190m;Thhalv10028421m;0.02816;0.2783;0.1012
Carubv10000191m;Thhalv10012647m;0.09002;0.2848;0.3161
Carubv10000192m;Thhalv10029199m;0.1649;0.3763;0.4382
Carubv10000193m;Thhalv10012644m;0.03582;0.2591;0.1382
Carubv10000194m;Thhalv10012654m;0.033;0.2059;0.1602
Carubv10000195m;Thhalv10012648m;0.1012;0.2936;0.3445
Carubv10000196m;Thhalv10012650m;0.02966;0.2729;0.1087
Carubv10000197m;Thhalv10005394m;0.04803;0.236;0.2035
Carubv10000198m;Thhalv10012662m;0.05812;0.2842;0.2045
Carubv10000200m;Thhalv10012667m;0.05002;0.2719;0.1839
Carubv10000201m;Thhalv10012666m;0.01738;0.2714;0.06403
Carubv10000202m;Thhalv10012674m;0.07034;0.3936;0.1787
Carubv10000203m;Thhalv10029342m;0.09069;0.3562;0.2546
Carubv10000205m;Thhalv10012651m;0.09876;0.2944;0.3354
Carubv10000206m;Thhalv10029527m;0.2751;1.009;0.2725
Carubv10000207m;Thhalv10003644m;0.1063;0.2982;0.3563
Carubv10000208m;Thhalv10012719m;0.0434;0.3089;0.1405
Carubv10000209m;Thhalv10012670m;0.06679;0.3394;0.1968
Carubv10000210m;Thhalv10012672m;0.04129;0.2495;0.1655
Carubv10000211m;Thhalv10003651m;0.07894;0.2648;0.2981
Carubv10000212m;Thhalv10012675m;0.04142;0.2497;0.1659
Carubv10000213m;Thhalv10028424m;0.1068;0.3624;0.2946
Carubv10000214m;Thhalv10012664m;0.05463;0.3242;0.1685
Carubv10000215m;Thhalv10028431m;0.08459;0.285;0.2968
Carubv10000216m;Thhalv10012673m;0.08781;0.4155;0.2113
Carubv10000217m;Thhalv10012680m;0.02024;0.3006;0.06734
Carubv10000219m;Thhalv10028375m;0.08652;0.3875;0.2233
Carubv10000220m;Thhalv10012681m;0.04424;0.3632;0.1218
Carubv10000222m;Thhalv10012659m;0.05992;0.2951;0.203
Carubv10000223m;Thhalv10029404m;0.06902;0.4999;0.1381
Carubv10000224m;Thhalv10012689m;0.07624;0.2304;0.3309
Carubv10000225m;Thhalv10028418m;0.07825;0.2808;0.2787
Carubv10000227m;Thhalv10015588m;0.07601;0.2975;0.2555
Carubv10000228m;Thhalv10012698m;0.04244;0.2351;0.1805
Carubv10000229m;Thhalv10011242m;0.03859;0.3863;0.09988
Carubv10000230m;Thhalv10012694m;0.03239;0.3994;0.0811
Carubv10000232m;Thhalv10012684m;0.06565;0.262;0.2506
Carubv10000234m;Thhalv10012699m;0.02697;0.2621;0.1029
Carubv10000235m;Thhalv10012679m;0.03971;0.2465;0.1611
Carubv10000237m;Thhalv10028436m;0.03876;0.3935;0.09849
Carubv10000238m;Thhalv10003659m;0.0592;0.4714;0.1256
Carubv10000239m;Thhalv10022557m;0.04213;0.5118;0.08231
Carubv10000240m;Thhalv10012708m;0.02817;0.308;0.09148
Carubv10000242m;Thhalv10015810m;0.09637;0.3602;0.2675
Carubv10000243m;Thhalv10012683m;0.06208;0.2318;0.2678
Carubv10000245m;Thhalv10012712m;0.03597;0.2589;0.139
Carubv10000246m;Thhalv10012720m;0.1003;0.3814;0.263
Carubv10000247m;Thhalv10012714m;0.006441;0.3174;0.0203
Carubv10000248m;Thhalv10012715m;0.05808;0.263;0.2208
Carubv10000249m;Thhalv10028435m;0.03279;0.3942;0.08317
Carubv10000250m;Thhalv10003748m;0.06086;0.4592;0.1325
Carubv10000251m;Thhalv10012727m;0.05099;0.2318;0.2199
Carubv10000252m;Thhalv10012725m;0.05817;0.3607;0.1613
Carubv10000253m;Thhalv10020131m;0.1891;0.6752;0.2801
Carubv10000254m;Thhalv10028442m;0.06594;0.3593;0.1835
Carubv10000257m;Thhalv10028440m;0.03449;0.3881;0.08886
Carubv10000258m;Thhalv10012726m;0.02066;0.3582;0.05767
Carubv10000259m;Thhalv10005446m;0.05085;0.3514;0.1447
