query_id;subject_id;dN;dS;dNdS
Bradi0180s00100.1;Medtr2g058640.1;0.3689;2.091;0.1764
Bradi1g00450.1;Medtr2g083220.1;0.2521;NA;NA
Bradi1g00460.4;Medtr7g104130.1;0.221;3.259;0.06782
Bradi1g00470.2;Medtr8g098420.1;0.2978;NA;NA
Bradi1g00480.2;Medtr6g053740.1;0.4147;1.808;0.2293
Bradi1g00485.3;Medtr5g010050.1;0.6375;NA;NA
Bradi1g00497.1;Medtr7g076190.1;0.4692;1.322;0.3548
Bradi1g00517.11;Medtr8g076100.3;0.3754;NA;NA
Bradi1g00530.8;Medtr3g006290.1;0.3268;3.708;0.08815
Bradi1g00560.5;Medtr1g075740.1;0.4675;NA;NA
Bradi1g00580.2;Medtr8g442400.1;0.4675;NA;NA
Bradi1g00600.1;Medtr1g094035.1;0.3644;NA;NA
Bradi1g00654.1;Medtr5g068790.1;0.4855;NA;NA
Bradi1g00666.2;Medtr1g070000.1;0.5432;NA;NA
Bradi1g00678.1;Medtr1g079925.2;0.5334;1.804;0.2957
Bradi1g00700.8;Medtr1g069935.1;0.1758;NA;NA
Bradi1g00710.2;Medtr4g058015.1;0.5375;NA;NA
Bradi1g00720.2;Medtr1g094650.2;0.2941;2.056;0.1431
Bradi1g00740.2;Medtr5g087960.2;0.4815;NA;NA
Bradi1g00750.1;Medtr7g101840.1;0.6025;NA;NA
Bradi1g00760.1;Medtr2g095390.1;0.2459;2.278;0.108
Bradi1g00770.1;Medtr2g095480.1;0.5546;NA;NA
Bradi1g00780.3;Medtr5g011540.1;0.4588;NA;NA
Bradi1g00830.1;Medtr4g023550.1;0.2811;2.848;0.0987
Bradi1g00840.1;Medtr0318s0020.1;0.5;NA;NA
Bradi1g00847.1;Medtr7g074890.1;0.2684;1.966;0.1365
Bradi1g00860.3;Medtr4g031220.1;0.1962;NA;NA
Bradi1g00887.1;Medtr4g077660.2;0.1044;1.598;0.06531
Bradi1g00910.2;Medtr4g478210.1;0.2367;1.593;0.1486
Bradi1g00931.2;Medtr1g018750.1;0.4054;NA;NA
Bradi1g00950.1;Medtr1g102070.1;0.284;NA;NA
Bradi1g00980.1;Medtr3g092720.1;0.366;NA;NA
Bradi1g00990.1;Medtr4g119400.2;0.1816;3.645;0.04983
Bradi1g01007.1;Medtr4g023560.1;0.2758;1.769;0.1559
Bradi1g01014.1;Medtr2g103690.1;0.08761;2.273;0.03854
Bradi1g01021.1;Medtr4g098660.1;0.4155;NA;NA
Bradi1g01047.1;Medtr1g022050.1;0.4082;NA;NA
Bradi1g01070.1;Medtr3g088850.1;0.4235;0.6969;0.6077
Bradi1g01080.1;Medtr5g430420.1;0.4962;NA;NA
Bradi1g01090.1;Medtr8g471110.1;0.2815;1.858;0.1515
Bradi1g01100.1;Medtr7g076910.2;0.2995;2.393;0.1251
Bradi1g01110.1;Medtr5g029900.1;0.3946;2.826;0.1396
Bradi1g01120.1;Medtr4g106640.1;0.5282;2.679;0.1972
Bradi1g01130.1;Medtr5g029680.2;0.3634;NA;NA
Bradi1g01140.1;Medtr2g006180.1;0.1539;NA;NA
Bradi1g01190.1;Medtr8g010590.1;0.2996;NA;NA
Bradi1g01220.3;Medtr5g026680.1;0.3321;2.804;0.1184
Bradi1g01227.1;Medtr6g033405.1;0.3428;NA;NA
Bradi1g01270.2;Medtr5g030740.1;0.5185;NA;NA
Bradi1g01280.1;Medtr2g061460.1;0.3883;1.642;0.2365
Bradi1g01290.1;Medtr2g022890.1;0.07828;1.714;0.04567
Bradi1g01300.1;Medtr4g059710.1;0.4687;1.338;0.3503
Bradi1g01330.1;Medtr4g025400.1;0.3709;1.548;0.2396
Bradi1g01363.1;Medtr3g063220.1;0.5188;NA;NA
Bradi1g01420.1;Medtr1g012370.3;0.3174;NA;NA
Bradi1g01460.1;Medtr7g058920.1;0.2758;0.7882;0.3499
Bradi1g01487.1;Medtr3g098600.1;0.3806;2.85;0.1335
Bradi1g01500.1;Medtr6g004130.1;0.345;1.01;0.3416
Bradi1g01530.1;Medtr6g004180.2;0.249;1.579;0.1577
Bradi1g01570.1;Medtr7g079520.1;0.3752;NA;NA
Bradi1g01580.1;Medtr7g094460.1;0.1199;1.58;0.07591
Bradi1g01600.1;Medtr4g071000.1;0.1186;1.214;0.09776
Bradi1g01610.1;Medtr3g089035.1;0.3861;1.812;0.213
Bradi1g01630.1;Medtr8g096180.1;0.3696;NA;NA
Bradi1g01660.1;Medtr1g099520.1;0.3196;0.7908;0.4042
Bradi1g01670.1;Medtr8g088840.1;0.5586;2.907;0.1922
Bradi1g01710.1;Medtr8g085290.2;0.02595;2.505;0.01036
Bradi1g01720.1;Medtr7g056133.1;0.2358;2.022;0.1166
Bradi1g01740.1;Medtr4g103610.1;0.2918;2.243;0.1301
Bradi1g01770.1;Medtr8g092080.1;0.1519;1.527;0.09948
Bradi1g01780.1;Medtr1g007800.1;0.3474;1.339;0.2594
Bradi1g01790.2;Medtr3g498865.1;0.4833;1.345;0.3592
Bradi1g01800.1;Medtr6g033260.1;0.1726;2.852;0.06052
Bradi1g01810.4;Medtr4g068230.1;0.3693;NA;NA
Bradi1g01830.5;Medtr8g081570.2;0.5471;NA;NA
Bradi1g01840.1;Medtr8g012450.1;0.3564;1.804;0.1975
Bradi1g01847.3;Medtr8g083170.1;0.2334;1.723;0.1355
Bradi1g01870.2;Medtr7g405830.1;0.2391;NA;NA
Bradi1g01880.1;Medtr3g084860.1;0.4093;1.476;0.2773
Bradi1g01900.1;Medtr3g086250.1;0.386;2.059;0.1874
Bradi1g01920.1;Medtr4g104240.1;0.4016;NA;NA
Bradi1g01980.1;Medtr3g029520.1;0.3843;NA;NA
Bradi1g02000.5;Medtr7g117580.1;0.1168;2.194;0.05326
Bradi1g02010.1;Medtr0103s0100.1;0.3857;2.308;0.1671
Bradi1g02020.1;Medtr7g080320.1;0.1626;2.323;0.07
Bradi1g02030.1;Medtr8g099720.1;0.3702;1.138;0.3252
Bradi1g02080.1;Medtr4g134410.1;0.3678;2.348;0.1566
Bradi1g02107.3;Medtr5g008850.1;0.3722;1.413;0.2634
Bradi1g02117.1;Medtr3g009180.1;0.3549;0.9505;0.3733
Bradi1g02150.1;Medtr4g134780.1;0.1914;3.193;0.05994
Bradi1g02160.1;Medtr2g005620.1;0.1229;1.218;0.101
Bradi1g02170.1;Medtr4g078200.1;0.1446;1.271;0.1138
Bradi1g02220.2;Medtr3g005050.1;0.3148;1.226;0.2567
Bradi1g02270.1;Medtr3g088425.1;0.3529;NA;NA
Bradi1g02310.7;Medtr1g116240.1;0.1988;1.548;0.1284
Bradi1g02370.1;Medtr6g043810.3;0.3674;NA;NA
Bradi1g02380.1;Medtr2g060550.3;0.3638;NA;NA
Bradi1g02390.1;Medtr3g005800.1;0.3902;NA;NA
Bradi1g02400.3;Medtr1g096340.2;0.3944;2.092;0.1886
Bradi1g02440.1;Medtr6g043790.1;0.3664;NA;NA
Bradi1g02450.5;Medtr8g094800.1;0.2743;3.329;0.08239
Bradi1g02460.1;Medtr4g088855.1;0.3025;2.544;0.1189
Bradi1g02535.1;Medtr1g041310.1;0.4941;2.327;0.2124
Bradi1g02550.1;Medtr1g069465.1;0.2922;NA;NA
Bradi1g02575.1;Medtr6g034940.1;0.2478;NA;NA
Bradi1g02580.1;Medtr0015s0130.2;0.02837;NA;NA
Bradi1g02590.2;Medtr2g086510.1;0.2743;0.9229;0.2972
Bradi1g02597.1;Medtr7g113200.1;0.2292;1.58;0.1451
Bradi1g02610.1;Medtr1g492850.1;0.2387;2.067;0.1155
