query_id;subject_id;dN;dS;dNdS
Thhalv10000006m;MA_350854g0010;0.2622;NA;NA
Thhalv10000007m;MA_736980g0010;0.2087;2.207;0.09453
Thhalv10000008m;MA_196707g0010;0.563;NA;NA
Thhalv10000009m;MA_10434824g0010;0.2498;3.129;0.07982
Thhalv10000012m;MA_10428226g0010;0.5511;NA;NA
Thhalv10000015m;MA_8997746g0010;0.3289;1.515;0.2171
Thhalv10000018m;MA_10336842g0010;0.283;NA;NA
Thhalv10000020m;MA_4962g0010;0.3848;NA;NA
Thhalv10000031m;MA_763g0010;0.0997;2.805;0.03554
Thhalv10000032m;MA_29732g0010;0.2125;NA;NA
Thhalv10000038m;MA_10435033g0010;0.3823;2.773;0.1379
Thhalv10000041m;MA_31005g0010;0.3141;NA;NA
Thhalv10000045m;MA_2514g0010;0.5015;NA;NA
Thhalv10000047m;MA_588533g0010;0.3785;3.019;0.1254
Thhalv10000050m;MA_62876g0010;0.4191;NA;NA
Thhalv10000053m;MA_650673g0010;0.4328;NA;NA
Thhalv10000061m;MA_950659g0010;0.1292;NA;NA
Thhalv10000066m;MA_129938g0010;0.4351;NA;NA
Thhalv10000072m;MA_649817g0010;0.5626;NA;NA
Thhalv10000073m;MA_10429365g0010;0.1738;2.404;0.07229
Thhalv10000076m;MA_10435446g0010;0.5158;NA;NA
Thhalv10000077m;MA_6251358g0010;0.2116;NA;NA
Thhalv10000080m;MA_125461g0010;0.6557;NA;NA
Thhalv10000082m;MA_14389g0010;0.3384;NA;NA
Thhalv10000084m;MA_10432100g0020;0.3945;NA;NA
Thhalv10000085m;MA_10211905g0010;0.349;1.854;0.1883
Thhalv10000087m;MA_64990g0010;0.4173;2.661;0.1568
Thhalv10000088m;MA_10429414g0020;0.3533;NA;NA
Thhalv10000089m;MA_10431915g0010;0.285;2.546;0.112
Thhalv10000093m;MA_8419g0010;0.2691;NA;NA
Thhalv10000095m;MA_10087005g0010;0.2892;NA;NA
Thhalv10000102m;MA_10436767g0010;0.6089;NA;NA
Thhalv10000103m;MA_10428241g0010;0.421;NA;NA
Thhalv10000104m;MA_10272168g0010;0.2561;3.783;0.0677
Thhalv10000110m;MA_120170g0010;0.2248;NA;NA
Thhalv10000113m;MA_1914g0020;0.3071;NA;NA
Thhalv10000119m;MA_960698g0010;0.5932;NA;NA
Thhalv10000120m;MA_95100g0010;0.158;NA;NA
Thhalv10000126m;MA_89112g0010;0.3626;NA;NA
Thhalv10000127m;MA_16499g0020;0.1851;2.182;0.08482
Thhalv10000134m;MA_5176g0010;0.08579;2.758;0.0311
Thhalv10000137m;MA_10431375g0010;0.3667;1.792;0.2047
Thhalv10000143m;MA_42113g0010;0.2938;3.577;0.08212
Thhalv10000146m;MA_10429400g0010;0.2881;1.917;0.1503
Thhalv10000150m;MA_20561g0020;0.4073;NA;NA
Thhalv10000151m;MA_87148g0010;0.32;NA;NA
Thhalv10000154m;MA_30352g0010;0.6233;NA;NA
Thhalv10000161m;MA_273360g0010;0.01242;1.611;0.007713
Thhalv10000164m;MA_91734g0010;0.2405;NA;NA
Thhalv10000165m;MA_10430944g0010;0.3316;NA;NA
Thhalv10000172m;MA_919958g0010;0.4665;NA;NA
Thhalv10000177m;MA_41437g0010;0.5579;NA;NA
Thhalv10000180m;MA_131889g0010;0.3572;NA;NA
Thhalv10000191m;MA_98654g0010;0.1108;1.56;0.07104
Thhalv10000193m;MA_416266g0010;0.4258;2.281;0.1867
Thhalv10000194m;MA_18328g0020;0.245;NA;NA
Thhalv10000195m;MA_10434622g0020;0.3474;4.893;0.07099
Thhalv10000203m;MA_132031g0010;0.806;3.232;0.2494
Thhalv10000204m;MA_57799g0010;0.1464;NA;NA
Thhalv10000209m;MA_845170g0010;0.3588;NA;NA
Thhalv10000215m;MA_103834g0010;0.584;2.549;0.2291
Thhalv10000218m;MA_87937g0010;0.1418;2.461;0.0576
Thhalv10000220m;MA_18042g0010;0.3907;NA;NA
Thhalv10000221m;MA_9346021g0010;0.1871;2.694;0.06946
Thhalv10000226m;MA_434619g0010;0.5333;NA;NA
Thhalv10000230m;MA_10435134g0010;0.4127;1.522;0.2711
Thhalv10000232m;MA_140098g0010;0.05447;NA;NA
Thhalv10000246m;MA_122976g0010;0.197;1.653;0.1192
Thhalv10000247m;MA_12301g0010;0.3648;NA;NA
Thhalv10000249m;MA_98979g0010;0.07896;1.816;0.04349
Thhalv10000252m;MA_10436598g0010;0.2083;NA;NA
Thhalv10000258m;MA_7292g0010;0.3966;NA;NA
