query_id;subject_id;dN;dS;dNdS
Carubv10000005m;935443;0.3526;0.4416;0.7984
Carubv10000012m;488459;0.02133;0.1381;0.1544
Carubv10000018m;489168;0.03422;0.139;0.2462
Carubv10000019m;490292;0.0636;0.181;0.3515
Carubv10000020m;942029;0.05131;0.1511;0.3396
Carubv10000021m;895977;0.0345;0.1604;0.2151
Carubv10000022m;488411;0.004825;0.1262;0.03823
Carubv10000023m;487009;0.05512;0.131;0.4208
Carubv10000024m;487239;0.08039;0.1706;0.4711
Carubv10000025m;487868;0.05686;0.2054;0.2768
Carubv10000026m;487193;0.01563;0.2356;0.06634
Carubv10000027m;941041;0.03262;0.1591;0.205
Carubv10000028m;488087;0.06734;0.1959;0.3437
Carubv10000030m;894322;0.07129;0.1992;0.3578
Carubv10000031m;893981;0.01418;0.1836;0.07723
Carubv10000032m;487182;0.079;0.1862;0.4243
Carubv10000033m;943476;0.0492;0.1547;0.318
Carubv10000034m;473745;0.08968;0.2249;0.3987
Carubv10000037m;486936;0.05593;0.1827;0.3062
Carubv10000038m;942978;0.03704;0.1894;0.1955
Carubv10000039m;487210;0.09576;0.2969;0.3226
Carubv10000040m;489171;0.07485;0.1566;0.478
Carubv10000043m;487657;0.1067;0.2219;0.4808
Carubv10000044m;940828;0.01075;0.2698;0.03984
Carubv10000045m;488757;0.02216;0.1757;0.1261
Carubv10000046m;489007;0.03907;0.225;0.1736
Carubv10000047m;895796;0.08884;0.1385;0.6415
Carubv10000048m;943535;0.03621;0.1748;0.2071
Carubv10000050m;488188;0.03328;0.157;0.2119
Carubv10000051m;487204;0.05496;0.159;0.3457
Carubv10000053m;488716;0.004264;0.1441;0.02958
Carubv10000054m;487067;0.04708;0.2049;0.2298
Carubv10000055m;488478;0.03982;0.174;0.2288
Carubv10000056m;488965;0.05301;0.1875;0.2827
Carubv10000057m;489822;0.08731;0.1448;0.6031
Carubv10000058m;351139;0.06062;0.2442;0.2482
Carubv10000059m;490126;0.0231;0.1656;0.1395
Carubv10000060m;488117;0.04614;0.238;0.1938
Carubv10000061m;488376;0.08396;0.2212;0.3796
Carubv10000062m;490287;0.06109;0.229;0.2668
Carubv10000064m;940242;0.0575;0.2045;0.2812
Carubv10000065m;488981;0.02056;0.1623;0.1267
Carubv10000067m;892672;0.07564;0.1938;0.3903
Carubv10000068m;487553;0.0499;0.3174;0.1572
Carubv10000069m;940824;0.09898;0.1721;0.5752
Carubv10000070m;489476;0.02772;0.208;0.1333
Carubv10000071m;487936;0.01432;0.1688;0.08485
Carubv10000072m;894721;0.12;0.1914;0.6271
Carubv10000074m;486894;0.138;0.2517;0.5485
Carubv10000075m;488339;0.02448;0.2166;0.1131
Carubv10000076m;489951;0.04588;0.226;0.203
