query_id;subject_id;dN;dS;dNdS
Bradi0135s00100.1;lcl|NW_010965304.1_cds_XP_010536243.1_11395;0.3916;2.842;0.1378
Bradi1g00450.1;lcl|NW_010965372.1_cds_XP_010538041.1_13729;0.2448;NA;NA
Bradi1g00470.2;lcl|NW_010966881.1_cds_XP_010553511.1_27469;0.261;1.639;0.1592
Bradi1g00480.2;lcl|NW_010966459.1_cds_XP_010550555.1_24808;0.4643;2.017;0.2302
Bradi1g00485.3;lcl|NW_010960187.1_cds_XP_010545499.1_2338;0.6371;NA;NA
Bradi1g00497.1;lcl|NW_010965390.1_cds_XP_010540273.1_15654;0.4837;NA;NA
Bradi1g00510.9;lcl|NW_010966986.1_cds_XP_010555615.1_29351;0.269;NA;NA
Bradi1g00530.8;lcl|NW_010965217.1_cds_XP_010535280.1_11184;0.3901;NA;NA
Bradi1g00560.5;lcl|NW_010969548.1_cds_XP_010523166.1_36164;0.4544;2.679;0.1696
Bradi1g00580.2;lcl|NW_010968045.1_cds_XP_010519003.1_33034;0.4771;NA;NA
Bradi1g00600.1;lcl|NW_010967707.1_cds_XP_010556935.1_30592;0.2763;2.104;0.1313
Bradi1g00666.2;lcl|NW_010965696.1_cds_XP_010542739.1_17865;0.4986;NA;NA
Bradi1g00678.1;lcl|NW_010962659.1_cds_XP_010530495.1_6944;0.3399;NA;NA
Bradi1g00700.8;lcl|NW_010966881.1_cds_XP_010553420.1_27379;0.1762;NA;NA
Bradi1g00710.1;lcl|NW_010965304.1_cds_XP_010535615.1_11487;0.4968;NA;NA
Bradi1g00720.2;lcl|NW_010965775.1_cds_XP_010543550.1_18582;0.3161;1.94;0.163
Bradi1g00740.2;lcl|NW_010965541.1_cds_XP_010541355.1_16610;0.4384;1.321;0.3318
Bradi1g00750.1;lcl|NW_010962392.1_cds_XP_010529715.1_6279;0.5134;NA;NA
Bradi1g00760.1;lcl|NW_010969548.1_cds_XP_010521736.1_35465;0.2395;3.791;0.06318
Bradi1g00780.3;lcl|NW_010962392.1_cds_XP_010529512.1_6083;0.506;NA;NA
Bradi1g00830.1;lcl|NW_010970490.1_cds_XP_010524361.1_37823;0.2708;3.623;0.07475
Bradi1g00840.1;lcl|NW_010965372.1_cds_XP_010536520.1_12306;0.5705;NA;NA
Bradi1g00847.1;lcl|NW_010965869.1_cds_XP_010544365.1_19305;0.2544;2.914;0.08732
Bradi1g00860.3;lcl|NW_010971389.1_cds_XP_010527084.1_40299;0.1956;2.648;0.07388
Bradi1g00887.1;lcl|NW_010970490.1_cds_XP_010525045.1_38477;0.0965;2.065;0.04674
Bradi1g00950.1;lcl|NW_010965372.1_cds_XP_010536506.1_12293;0.3301;NA;NA
Bradi1g00980.1;lcl|NW_010968505.1_cds_XP_010519569.1_33534;0.3275;NA;NA
Bradi1g00990.1;lcl|NW_010960187.1_cds_XP_010549766.1_2771;0.2355;2.302;0.1023
Bradi1g01007.1;lcl|NW_010965946.1_cds_XP_010544652.1_19546;0.3297;1.683;0.1959
Bradi1g01014.1;lcl|NW_010964598.1_cds_XP_010532170.1_8456;0.08975;2.559;0.03507
Bradi1g01021.1;lcl|NW_010962392.1_cds_XP_010529124.1_5713;0.4241;NA;NA
Bradi1g01047.1;lcl|NW_010966774.1_cds_XP_010552498.1_26529;0.3818;NA;NA
Bradi1g01070.1;lcl|NW_010965775.1_cds_XP_010543487.1_18524;0.3878;2.548;0.1522
Bradi1g01080.1;lcl|NW_010970490.1_cds_XP_010525057.1_38490;0.3197;NA;NA
Bradi1g01100.1;lcl|NW_010965541.1_cds_XP_010541257.1_16516;0.2767;NA;NA
Bradi1g01110.1;lcl|NW_010962392.1_cds_XP_010530020.1_6568;0.4192;NA;NA
Bradi1g01120.1;lcl|NW_010965019.1_cds_XP_010533502.1_9621;0.6314;NA;NA
Bradi1g01130.2;lcl|NW_010967707.1_cds_XP_010558629.1_32205;0.3948;NA;NA
Bradi1g01140.1;lcl|NW_010960187.1_cds_XP_010547420.1_2527;0.1242;1.98;0.06272
Bradi1g01190.1;lcl|NW_010967707.1_cds_XP_010558682.1_32253;0.3563;NA;NA
Bradi1g01227.1;lcl|NW_010960187.1_cds_XP_010524960.1_446;0.2984;NA;NA
Bradi1g01270.2;lcl|NW_010960188.1_cds_XP_010518907.1_3489;0.4824;1.508;0.3199
Bradi1g01280.1;lcl|NW_010967707.1_cds_XP_010556816.1_30468;0.4178;2.881;0.145
Bradi1g01290.1;lcl|NW_010960187.1_cds_XP_010538802.1_1637;0.09165;1.733;0.05289
Bradi1g01300.1;lcl|NW_010965696.1_cds_XP_010542595.1_17723;0.5429;NA;NA
Bradi1g01310.1;lcl|NW_010968505.1_cds_XP_010520369.1_34303;0.5226;NA;NA
Bradi1g01320.1;lcl|NW_010966881.1_cds_XP_010553572.1_27526;0.4784;NA;NA
Bradi1g01330.1;lcl|NW_010970652.1_cds_XP_010525461.1_38797;0.4473;NA;NA
Bradi1g01363.1;lcl|NW_010965372.1_cds_XP_010536533.1_12318;0.5874;NA;NA
Bradi1g01420.1;lcl|NW_010971389.1_cds_XP_010525973.1_39258;0.2651;2.112;0.1256
Bradi1g01460.1;lcl|NW_010970490.1_cds_XP_010524694.1_38140;0.2306;1.879;0.1228
Bradi1g01487.1;lcl|NW_010966986.1_cds_XP_010555585.1_29323;0.3889;3.021;0.1287
Bradi1g01500.1;lcl|NW_010969548.1_cds_XP_010522985.1_36641;0.2982;2.105;0.1417
Bradi1g01507.1;lcl|NW_010967707.1_cds_XP_010557787.1_31411;0.2949;1.731;0.1704
Bradi1g01530.1;lcl|NW_010960187.1_cds_XP_010548874.1_2672;0.2337;2.022;0.1156
Bradi1g01570.1;lcl|NW_010966881.1_cds_XP_010554553.1_28450;0.3334;1.851;0.1801
Bradi1g01580.1;lcl|NW_010969548.1_cds_XP_010522687.1_36367;0.08872;1.827;0.04856
Bradi1g01600.1;lcl|NW_010965373.1_cds_XP_010540049.1_15480;0.1275;1.08;0.1181
Bradi1g01630.1;lcl|NW_010960187.1_cds_XP_010530779.1_800;0.3917;NA;NA
Bradi1g01660.1;lcl|NW_010966274.1_cds_XP_010549311.1_23692;0.2808;2.131;0.1318
Bradi1g01670.1;lcl|NW_010965019.1_cds_XP_010533961.1_10062;0.5327;2.5;0.2131
Bradi1g01710.1;lcl|NW_010972002.1_cds_XP_010527477.1_40593;0.04909;NA;NA
Bradi1g01720.1;lcl|NW_010966665.1_cds_XP_010552045.1_26137;0.256;1.313;0.195
Bradi1g01740.1;lcl|NW_010965372.1_cds_XP_010536633.1_12411;0.299;1.786;0.1674
