query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS
AT1G01040.1.1;333551;0.01347;0.1165;0.1156;Carubv10008073m;0.02317;0.2349;0.09863;Thhalv10006531m;0.03342;0.3129;0.1068;Medtr7g118350.1;0.1451;1.675;0.08662;lcl|NW_010967707.1_cds_XP_010556639.1_30293;0.08732;0.744;0.1174
AT1G01050.2.1;909874;0.0;0.175;0.0;Carubv10010288m;0.01063;0.2386;0.04453;Thhalv10008767m;0.007183;0.3848;0.01867;Medtr8g024050.1;0.08582;1.318;0.06513;lcl|NW_010965696.1_cds_XP_010542812.1_17937;0.03153;0.7757;0.04065
AT1G01080.1.1;909871;0.03398;0.1056;0.3217;Carubv10009913m;0.07032;0.2134;0.3294;Thhalv10008355m;0.06388;0.2909;0.2196;Medtr7g118230.1;0.4939;NA;NA;lcl|NW_010967707.1_cds_XP_010556629.1_30271;0.1589;0.8563;0.1855
AT1G01090.1.1;470171;0.009104;0.2181;0.04174;Carubv10009201m;0.01581;0.3457;0.04573;Thhalv10007695m;0.02256;0.4576;0.0493;Medtr8g024310.1;0.1261;1.752;0.07198;lcl|NW_010967707.1_cds_XP_010556630.1_30270;0.07587;1.011;0.07507
AT1G01110.2.1;333544;0.03248;0.122;0.2662;Carubv10008796m;0.05539;0.2266;0.2444;Thhalv10007299m;0.06002;0.3247;0.1848;Medtr8g024540.1;0.2639;NA;NA;lcl|NW_010967707.1_cds_XP_010556621.1_30268;0.1534;1.385;0.1107
AT1G01120.1.1;918858;0.003072;0.1326;0.02317;Carubv10012263m;0.01629;0.2926;0.05568;Thhalv10007351m;0.02583;0.3082;0.0838;Medtr7g118170.1;0.1779;2.074;0.08577;lcl|NW_010969548.1_cds_XP_010522897.1_36554;0.08512;0.9585;0.08881
AT1G01170.2.1;311317;0.0;0.3064;0.0;Carubv10010775m;0.02147;0.1478;0.1453;Thhalv10009224m;0.04254;0.4343;0.09795;Medtr7g091770.2;0.2135;1.76;0.1213;lcl|NW_010960188.1_cds_XP_010523899.1_4016;0.09208;1.319;0.0698
AT1G01180.1.1;909860;0.03832;0.154;0.2488;Carubv10009834m;0.06208;0.366;0.1696;Thhalv10008287m;0.06929;0.4371;0.1585;Medtr8g024680.1;0.2522;1.82;0.1386;lcl|NW_010969548.1_cds_XP_010522900.1_36562;0.1216;0.886;0.1373
AT1G01200.1.1;470156;0.01905;0.1675;0.1137;Carubv10010167m;0.03387;0.3047;0.1112;Thhalv10009311m;0.04745;0.3225;0.1472;Medtr8g027220.1;0.2046;NA;NA;lcl|NW_010969548.1_cds_XP_010522902.1_36564;0.08841;1.445;0.06119
AT1G01225.1.1;470154;0.01332;0.1122;0.1187;Carubv10028051m;0.02673;0.247;0.1082;Thhalv10008506m;0.05555;0.3169;0.1753;Medtr7g117750.1;0.2003;1.7;0.1178;lcl|NW_010969548.1_cds_XP_010522903.1_36566;0.09727;1.139;0.08539
AT1G01230.1.1;470153;0.002573;0.06798;0.03785;Carubv10010529m;0.008203;0.1576;0.05206;Thhalv10008983m;0.01124;0.3061;0.03671;Medtr8g027285.1;0.08782;1.292;0.06799;lcl|NW_010969548.1_cds_XP_010522906.1_36567;0.05614;0.7904;0.07102
AT1G01250.1.1;470149;0.01949;0.0931;0.2093;Carubv10010347m;0.03751;0.4434;0.08459;Thhalv10009402m;0.05743;0.3088;0.186;Medtr7g117690.1;0.2728;3.355;0.08131;lcl|NW_010967707.1_cds_XP_010556599.1_30246;0.1382;1.241;0.1114
AT1G01260.3.1;470147;0.0167;0.2088;0.07996;Carubv10008640m;0.03623;0.3351;0.1081;Thhalv10007139m;0.0513;0.4037;0.1271;Medtr8g027495.1;0.3426;2.661;0.1287;lcl|NW_010967707.1_cds_XP_010556598.1_30245;0.1325;1.308;0.1013
AT1G01280.1.1;470146;0.02626;0.1567;0.1676;Carubv10011315m;0.03557;0.3036;0.1172;Thhalv10007395m;0.04045;0.4379;0.09236;Medtr7g087520.1;0.1318;3.592;0.0367;lcl|NW_010967707.1_cds_XP_010556597.1_30244;0.07931;0.96;0.08262
AT1G01290.2.1;311305;0.04863;0.2185;0.2226;Carubv10009996m;0.07058;0.3165;0.223;Thhalv10008544m;0.07783;0.3795;0.2051;Medtr5g015740.1;0.2667;2.402;0.1111;lcl|NW_010969548.1_cds_XP_010522914.1_36574;0.2009;0.7917;0.2537
AT1G01300.1.1;470145;0.01131;0.1757;0.06438;Carubv10009005m;0.02747;0.2651;0.1036;Thhalv10009389m;0.03976;0.3483;0.1141;Medtr7g117430.1;0.1971;1.507;0.1308;lcl|NW_010967707.1_cds_XP_010556596.1_30243;0.1063;0.8748;0.1215
AT1G01350.1.1;918833;0.01761;0.1751;0.1006;Carubv10009639m;0.03101;0.2359;0.1314;Thhalv10009432m;0.0321;0.3425;0.09372;Medtr7g109250.3;0.1965;2.273;0.08644;lcl|NW_010965372.1_cds_XP_010537446.1_13170;0.09502;0.9577;0.09921
AT1G01360.1.1;909840;0.02711;0.1251;0.2168;Carubv10010391m;0.0447;0.4497;0.09942;Thhalv10008854m;0.03247;0.4518;0.07186;Medtr8g027805.1;0.141;1.434;0.09834;lcl|NW_010967707.1_cds_XP_010556594.1_30241;0.07113;0.9212;0.07721
AT1G01370.4.1;923625;0.07567;0.1433;0.5281;Carubv10010436m;0.153;0.3141;0.4872;Thhalv10008889m;0.1092;0.2479;0.4403;Medtr8g027840.1;0.3932;NA;NA;lcl|NW_010967707.1_cds_XP_010556592.1_30239;0.2312;0.718;0.322
AT1G01430.1.1;470137;0.04625;0.1311;0.3526;Carubv10009105m;0.07143;0.2619;0.2727;Thhalv10007590m;0.08935;0.3611;0.2474;Medtr8g027900.1;0.3307;2.758;0.1199;lcl|NW_010967707.1_cds_XP_010556586.1_30233;0.1745;1.187;0.147
AT1G01470.1.1;333508;0.02677;0.1458;0.1835;Carubv10010557m;0.005759;0.3716;0.0155;Thhalv10009011m;0.07724;0.4735;0.1631;Medtr7g079180.2;0.2789;1.986;0.1405;lcl|NW_010965869.1_cds_XP_010544419.1_19355;0.1696;1.106;0.1533
AT1G01510.1.1;311286;0.006975;0.0982;0.07103;Carubv10011468m;0.01162;0.1886;0.0616;Thhalv10007060m;0.02686;0.2248;0.1195;Medtr7g078990.1;0.1763;1.491;0.1183;lcl|NW_010969548.1_cds_XP_010522949.1_36606;0.08062;0.5939;0.1357
AT1G01630.1.1;470113;0.0226;0.09891;0.2284;Carubv10010070m;0.04584;0.2577;0.1779;Thhalv10008535m;0.07544;0.4815;0.1567;Medtr3g098530.1;0.2448;1.469;0.1666;lcl|NW_010960187.1_cds_XP_010530779.1_800;0.1255;1.224;0.1025
AT1G01650.1.1;470110;0.006229;0.08685;0.07173;Carubv10008675m;0.01869;0.1901;0.09835;Thhalv10007312m;0.0397;0.2794;0.1421;Medtr8g030680.1;0.1783;1.301;0.1371;lcl|NW_010965869.1_cds_XP_010544387.1_19326;0.0879;0.6217;0.1414
AT1G01710.1.1;470104;0.01521;0.08964;0.1697;Carubv10009215m;0.03119;0.2169;0.1438;Thhalv10007689m;0.05553;0.3336;0.1665;Medtr7g077400.1;0.2148;2.012;0.1067;lcl|NW_010965390.1_cds_XP_010540281.1_15661;0.1075;0.6904;0.1557
AT1G01720.1.1;918785;0.007866;0.1286;0.06116;Carubv10009926m;0.01746;0.3022;0.05776;Thhalv10008371m;0.03478;0.2577;0.135;Medtr3g088110.2;0.1475;1.614;0.09141;lcl|NW_010965372.1_cds_XP_010539001.1_14633;0.1141;0.9171;0.1244
AT1G01730.1.1;470101;0.03949;0.08337;0.4737;Carubv10010200m;0.1035;0.2958;0.3499;Thhalv10008538m;0.1311;0.2938;0.4461;Medtr7g077380.1;0.4555;3.164;0.144;lcl|NW_010969548.1_cds_XP_010523023.1_36681;0.3701;1.219;0.3035
AT1G01770.1.1;470098;0.02411;0.1015;0.2377;Carubv10012179m;0.06418;0.2062;0.3112;Thhalv10007047m;0.05442;0.1953;0.2786;Medtr8g031480.2;0.2131;1.424;0.1497;lcl|NW_010969548.1_cds_XP_010523028.1_36682;0.1267;0.6239;0.2031
