query_id;subject_id;dN;dS;dNdS
AT1G01040.1.1;Medtr7g118350.1;0.1451;1.675;0.08662
AT1G01050.2.1;Medtr8g024050.1;0.08582;1.318;0.06513
AT1G01060.4.1;Medtr7g118330.2;0.3395;1.605;0.2115
AT1G01080.1.1;Medtr7g118230.1;0.4939;NA;NA
AT1G01090.1.1;Medtr8g024310.1;0.1261;1.752;0.07198
AT1G01110.2.1;Medtr8g024540.1;0.2639;NA;NA
AT1G01120.1.1;Medtr7g118170.1;0.1779;2.074;0.08577
AT1G01140.1.1;Medtr8g024600.1;0.1517;1.523;0.09955
AT1G01170.2.1;Medtr7g091770.2;0.2135;1.76;0.1213
AT1G01180.1.1;Medtr8g024680.1;0.2522;1.82;0.1386
AT1G01200.1.1;Medtr8g027220.1;0.2046;NA;NA
AT1G01220.7.1;Medtr7g117870.1;0.1849;1.522;0.1215
AT1G01225.1.1;Medtr7g117750.1;0.2003;1.7;0.1178
AT1G01230.1.1;Medtr8g027285.1;0.08782;1.292;0.06799
AT1G01250.1.1;Medtr7g117690.1;0.2728;3.355;0.08131
AT1G01260.3.1;Medtr8g027495.1;0.3426;2.661;0.1287
AT1G01280.1.1;Medtr7g087520.1;0.1318;3.592;0.0367
AT1G01290.2.1;Medtr5g015740.1;0.2667;2.402;0.1111
AT1G01300.1.1;Medtr7g117430.1;0.1971;1.507;0.1308
AT1G01320.3.1;Medtr8g027685.1;0.2484;1.36;0.1827
AT1G01350.1.1;Medtr7g109250.3;0.1965;2.273;0.08644
AT1G01360.1.1;Medtr8g027805.1;0.141;1.434;0.09834
AT1G01370.4.1;Medtr8g027840.1;0.3932;NA;NA
AT1G01430.1.1;Medtr8g027900.1;0.3307;2.758;0.1199
AT1G01470.1.1;Medtr7g079180.2;0.2789;1.986;0.1405
AT1G01490.2.1;Medtr7g079110.1;0.1263;1.377;0.09167
AT1G01500.1.1;Medtr8g028630.1;0.2969;2.172;0.1367
AT1G01510.1.1;Medtr7g078990.1;0.1763;1.491;0.1183
AT1G01580.1.1;Medtr8g028780.1;0.3108;NA;NA
AT1G01610.1.1;Medtr8g030620.1;0.1259;1.203;0.1047
AT1G01630.1.1;Medtr3g098530.1;0.2448;1.469;0.1666
AT1G01650.1.1;Medtr8g030680.1;0.1783;1.301;0.1371
AT1G01690.3.1;Medtr8g030730.1;0.5701;2.361;0.2415
AT1G01710.1.1;Medtr7g077400.1;0.2148;2.012;0.1067
AT1G01720.1.1;Medtr3g088110.2;0.1475;1.614;0.09141
AT1G01730.1.1;Medtr7g077380.1;0.4555;3.164;0.144
AT1G01760.3.1;Medtr8g031440.1;0.3032;1.78;0.1704
AT1G01770.1.1;Medtr8g031480.2;0.2131;1.424;0.1497
AT1G01820.1.1;Medtr7g076200.3;0.1337;NA;NA
AT1G01840.1.1;Medtr7g076270.1;0.3342;1.633;0.2046
AT1G01860.1.1;Medtr7g076280.1;0.2625;2.067;0.1269
AT1G01880.3.1;Medtr7g076290.1;0.3193;1.776;0.1798
AT1G01900.1.1;Medtr7g075900.1;0.3247;1.768;0.1837
AT1G01910.4.1;Medtr8g032880.1;0.1263;1.543;0.08185
AT1G01920.2.1;Medtr7g076590.1;0.262;1.613;0.1624
AT1G01930.1.1;Medtr7g075170.1;0.2765;1.334;0.2074
AT1G01940.1.1;Medtr8g036015.1;0.05012;1.43;0.03504
AT1G01950.1.1;Medtr7g075060.1;0.1573;1.841;0.08545
AT1G01970.1.1;Medtr7g075010.1;0.3214;1.756;0.1831
AT1G02010.1.1;Medtr4g023610.1;0.1628;1.984;0.08202
AT1G02020.1.1;Medtr4g025130.1;0.2592;2.122;0.1222
AT1G02040.1.1;Medtr4g028610.1;0.5788;NA;NA
AT1G02050.1.1;Medtr4g078730.1;0.1616;1.278;0.1264
AT1G02060.1.1;Medtr7g044790.1;0.3071;2.594;0.1184
AT1G02065.1.1;Medtr8g005960.1;0.3791;NA;NA
AT1G02070.1.1;Medtr7g445390.1;0.3498;1.364;0.2564
AT1G02080.3.1;Medtr8g005820.1;0.2575;1.573;0.1637
AT1G02090.1.1;Medtr7g081735.1;0.1554;1.406;0.1106
AT1G02090.3.1;Medtr7g081735.2;0.1778;1.649;0.1078
AT1G02100.3.1;Medtr7g081715.1;0.1477;1.161;0.1273
AT1G02120.1.1;Medtr8g006895.2;0.382;1.71;0.2234
AT1G02130.1.1;Medtr7g081700.1;0.03173;2.491;0.01274
AT1G02140.1.1;Medtr3g118110.1;0.07207;2.362;0.03051
AT1G02145.3.1;Medtr8g007345.1;0.2326;1.583;0.1469
AT1G02150.1.1;Medtr8g007375.1;0.3066;2.648;0.1158
AT1G02160.1.1;Medtr7g050540.1;0.1101;1.538;0.07161
AT1G02170.1.1;Medtr7g451400.1;0.1431;1.617;0.08847
AT1G02180.1.1;Medtr8g009260.1;0.3383;1.888;0.1791
AT1G02205.2.1;Medtr8g009590.1;0.2605;2.029;0.1284
AT1G02260.2.1;Medtr6g045483.3;0.1641;1.923;0.08536
AT1G02270.1.1;Medtr8g023830.1;0.2476;2.356;0.1051
AT1G02305.1.1;Medtr7g111060.1;0.2172;2.051;0.1059
AT1G02330.1.1;Medtr1g085470.1;0.1775;1.962;0.09048
AT1G02370.1.1;Medtr1g086820.1;0.4451;NA;NA
AT1G02390.1.1;Medtr1g086650.1;0.3444;NA;NA
AT1G02400.1.1;Medtr1g086550.1;0.3088;1.639;0.1884
AT1G02410.3.1;Medtr3g053650.2;0.2437;1.872;0.1302
AT1G02420.1.1;Medtr1g086500.1;0.1928;1.814;0.1063
