query_id;subject_id;dN;dS;dNdS
Thhalv10000004m;916553;0.07062;0.3753;0.1882
Thhalv10000006m;932741;0.05026;0.2464;0.204
Thhalv10000007m;932155;0.01209;0.2263;0.05345
Thhalv10000008m;932732;0.04476;0.2432;0.184
Thhalv10000009m;481390;0.07047;0.3865;0.1823
Thhalv10000010m;320274;0.1818;0.4256;0.4272
Thhalv10000012m;481235;0.08025;0.3308;0.2426
Thhalv10000014m;344116;0.03849;0.2604;0.1478
Thhalv10000015m;481065;0.03187;0.2467;0.1292
Thhalv10000017m;475134;0.02326;0.2968;0.07836
Thhalv10000018m;475499;0.08957;0.3391;0.2641
Thhalv10000019m;932480;0.1125;0.2888;0.3894
Thhalv10000020m;320306;0.05588;0.2357;0.2371
Thhalv10000021m;320248;0.1138;0.2181;0.5218
Thhalv10000023m;914947;0.2281;0.4742;0.4811
Thhalv10000024m;481003;0.04998;0.2571;0.1944
Thhalv10000027m;481093;0.05176;0.2389;0.2167
Thhalv10000029m;899595;0.01563;0.3794;0.0412
Thhalv10000030m;481268;0.01619;0.2126;0.07616
Thhalv10000031m;899931;0.06274;0.4412;0.1422
Thhalv10000032m;481113;0.07338;0.2709;0.2708
Thhalv10000035m;477857;0.2131;0.5253;0.4058
Thhalv10000036m;481115;0.04516;0.2741;0.1648
Thhalv10000038m;481208;0.05331;0.2298;0.232
Thhalv10000039m;899665;0.04039;0.3506;0.1152
Thhalv10000040m;932330;0.08161;0.3142;0.2598
Thhalv10000041m;481220;0.0361;0.2992;0.1207
Thhalv10000043m;480993;0.0444;0.208;0.2134
Thhalv10000045m;481279;0.04499;0.2563;0.1756
Thhalv10000046m;343817;0.08531;0.3076;0.2773
Thhalv10000047m;481186;0.03445;0.2672;0.129
Thhalv10000048m;481007;0.02295;0.1716;0.1337
Thhalv10000049m;343887;0.09141;0.3403;0.2686
Thhalv10000050m;320078;0.05508;0.3179;0.1732
Thhalv10000053m;481070;0.04902;0.3182;0.154
Thhalv10000054m;490781;0.06807;0.327;0.2082
Thhalv10000055m;343889;0.05058;0.3685;0.1373
Thhalv10000056m;481031;0.03509;0.3034;0.1157
Thhalv10000057m;481385;0.05526;0.4265;0.1296
Thhalv10000058m;481263;0.08958;0.3658;0.2449
Thhalv10000059m;320206;0.03115;0.3732;0.08348
Thhalv10000060m;481319;0.03894;0.3113;0.1251
Thhalv10000061m;489563;0.0354;0.2964;0.1195
Thhalv10000062m;324761;0.0829;0.2874;0.2884
Thhalv10000063m;480948;0.1056;0.351;0.3008
Thhalv10000066m;932344;0.09905;0.4033;0.2456
Thhalv10000068m;481234;0.05392;0.2434;0.2215
Thhalv10000069m;492542;0.1827;0.4614;0.396
Thhalv10000070m;932693;0.1329;0.2764;0.481
Thhalv10000072m;481141;0.2379;0.7608;0.3127
Thhalv10000073m;932530;0.01986;0.2551;0.07786
Thhalv10000074m;939541;0.07157;0.3736;0.1916
Thhalv10000075m;932329;0.0493;0.3227;0.1528
Thhalv10000076m;932374;0.04361;0.2932;0.1488
Thhalv10000077m;490998;0.04471;0.3037;0.1472
Thhalv10000078m;481396;0.02307;0.5132;0.04495
Thhalv10000079m;481272;0.02734;0.5037;0.05427
Thhalv10000081m;932396;0.02651;0.2624;0.101
Thhalv10000082m;899419;0.04583;0.3063;0.1496
Thhalv10000083m;932711;0.1771;0.5092;0.3478
Thhalv10000084m;315436;0.09547;0.7275;0.1312
Thhalv10000085m;481036;0.03682;0.3039;0.1211
Thhalv10000086m;481406;0.1131;0.3589;0.3152
Thhalv10000087m;481400;0.06655;0.4107;0.162
Thhalv10000088m;481323;0.06323;0.2713;0.2331
Thhalv10000089m;481012;0.03863;0.2221;0.174
Thhalv10000090m;481119;0.1149;0.3915;0.2935
