query_id;subject_id;dN;dS;dNdS
Thhalv10000006m;Bradi2g42430.1;0.2871;2.205;0.1302
Thhalv10000007m;Bradi1g45400.1;0.1809;1.881;0.09615
Thhalv10000008m;Bradi2g05017.1;0.2907;2.303;0.1262
Thhalv10000009m;Bradi3g48647.1;0.3049;2.706;0.1127
Thhalv10000012m;Bradi3g52951.2;0.5125;NA;NA
Thhalv10000014m;Bradi1g47367.2;0.3119;2.905;0.1074
Thhalv10000020m;Bradi2g38520.3;0.3029;NA;NA
Thhalv10000025m;Bradi1g77667.2;0.3464;2.669;0.1298
Thhalv10000027m;Bradi1g71810.2;0.3854;2.348;0.1641
Thhalv10000031m;Bradi3g06107.1;0.1716;1.979;0.08671
Thhalv10000032m;Bradi3g60040.1;0.3716;2.607;0.1425
Thhalv10000036m;Bradi2g62620.1;0.5649;NA;NA
Thhalv10000038m;Bradi1g48340.5;0.2945;4.046;0.07279
Thhalv10000039m;Bradi4g02930.1;0.4501;NA;NA
Thhalv10000040m;Bradi5g24090.4;0.5408;2.996;0.1805
Thhalv10000041m;Bradi4g02980.1;0.3465;NA;NA
Thhalv10000042m;Bradi1g49510.1;0.2981;NA;NA
Thhalv10000043m;Bradi5g17020.5;0.376;NA;NA
Thhalv10000045m;Bradi3g19650.1;0.3579;NA;NA
Thhalv10000047m;Bradi1g20170.1;0.4176;NA;NA
Thhalv10000050m;Bradi4g32840.1;0.2892;1.94;0.1491
Thhalv10000052m;Bradi4g16660.3;0.4763;NA;NA
Thhalv10000053m;Bradi1g07090.1;0.3305;2.555;0.1294
Thhalv10000054m;Bradi5g12610.2;0.4633;NA;NA
Thhalv10000056m;Bradi3g38100.1;0.2009;2.427;0.0828
Thhalv10000057m;Bradi4g37590.1;0.3363;2.867;0.1173
Thhalv10000059m;Bradi5g23700.1;0.2636;2.41;0.1094
Thhalv10000061m;Bradi1g13850.1;0.1911;2.007;0.09521
Thhalv10000066m;Bradi1g69340.1;0.4397;NA;NA
Thhalv10000076m;Bradi1g09615.1;0.4372;1.181;0.3703
Thhalv10000077m;Bradi4g14840.2;0.2466;NA;NA
Thhalv10000078m;Bradi1g66620.1;0.2336;NA;NA
Thhalv10000082m;Bradi3g03020.2;0.232;2.21;0.105
Thhalv10000084m;Bradi2g40000.1;0.2662;NA;NA
Thhalv10000085m;Bradi1g57920.1;0.4153;NA;NA
