query_id;subject_id;dN;dS;dNdS
Thhalv10000004m;AT5G49680.2.1;0.07495;0.3955;0.1895
Thhalv10000006m;AT2G25730.3.1;0.03693;0.231;0.1599
Thhalv10000007m;AT2G22125.1.1;0.01261;0.2517;0.05012
Thhalv10000008m;AT2G25660.3.1;0.04211;0.2582;0.1631
Thhalv10000009m;AT2G25320.3.1;0.04047;0.285;0.142
Thhalv10000010m;AT2G24690.2.1;0.2068;0.4507;0.459
Thhalv10000012m;AT2G23740.6.1;0.08429;0.3382;0.2493
Thhalv10000014m;AT2G25170.2.1;0.04057;0.2614;0.1552
Thhalv10000015m;AT2G22010.1.1;0.03185;0.2572;0.1238
Thhalv10000017m;AT1G62020.1.1;0.024;0.3149;0.07623
Thhalv10000018m;AT1G64960.1.1;0.1;0.3572;0.28
Thhalv10000020m;AT2G25050.1.1;0.06631;0.2431;0.2728
Thhalv10000021m;AT4G36150.1.1;0.3593;1.039;0.3458
Thhalv10000022m;AT2G25540.1.1;0.04828;0.2458;0.1964
Thhalv10000023m;AT1G56540.1.1;0.1495;0.3492;0.4283
Thhalv10000024m;AT2G21380.2.1;0.04875;0.2736;0.1782
Thhalv10000025m;AT2G22610.2.1;0.07612;0.354;0.215
Thhalv10000027m;AT2G22300.2.1;0.05096;0.2327;0.219
Thhalv10000028m;AT2G24650.5.1;0.2623;0.5042;0.5202
Thhalv10000029m;AT2G22950.1.1;0.01863;0.3815;0.04883
Thhalv10000030m;AT2G24120.1.1;0.01672;0.2395;0.0698
Thhalv10000031m;AT2G25140.1.1;0.079;0.4436;0.1781
Thhalv10000032m;AT2G22530.1.1;0.07758;0.3206;0.242
Thhalv10000034m;AT3G11080.2.1;0.1818;0.4734;0.384
Thhalv10000035m;AT3G11010.3.1;0.1816;0.4067;0.4465
Thhalv10000036m;AT2G22560.1.1;0.04775;0.274;0.1743
Thhalv10000038m;AT2G23380.1.1;0.05139;0.2559;0.2008
Thhalv10000039m;AT2G23460.1.1;0.04485;0.4469;0.1004
Thhalv10000040m;AT2G23360.1.1;0.0833;0.2895;0.2877
Thhalv10000041m;AT2G23520.1.1;0.03425;0.3218;0.1064
Thhalv10000042m;AT2G21480.1.1;0.04544;0.4524;0.1004
Thhalv10000043m;AT2G21300.5.1;0.04415;0.2348;0.1881
Thhalv10000045m;AT2G24230.1.1;0.04948;0.2567;0.1927
Thhalv10000046m;AT2G22660.2.1;0.08937;0.3362;0.2658
Thhalv10000047m;AT2G23140.1.1;0.03601;0.2773;0.1299
Thhalv10000048m;AT2G21410.1.1;0.01935;0.1916;0.101
Thhalv10000050m;AT2G22400.1.1;0.06057;0.3054;0.1983
Thhalv10000051m;AT2G24370.1.1;0.04456;0.3777;0.118
Thhalv10000052m;AT2G24960.2.1;0.09813;0.4799;0.2045
Thhalv10000053m;AT2G22070.1.1;0.04867;0.3355;0.1451
Thhalv10000054m;AT4G39952.1.1;0.08012;0.3781;0.2119
Thhalv10000055m;AT2G23300.1.1;0.05662;0.3939;0.1437
Thhalv10000056m;AT2G21630.1.1;0.03701;0.3189;0.1161
Thhalv10000057m;AT2G25290.4.1;0.04815;0.4537;0.1061
Thhalv10000058m;AT2G24050.1.1;0.09951;0.389;0.2558
Thhalv10000059m;AT2G23980.9.1;0.02773;0.4184;0.06627
Thhalv10000060m;AT2G24610.1.1;0.03835;0.3361;0.1141
Thhalv10000061m;AT5G27640.3.1;0.03464;0.3182;0.1089
Thhalv10000062m;AT3G63370.2.1;0.09636;0.3006;0.3205
Thhalv10000063m;AT2G20960.3.1;0.1168;0.3519;0.332
Thhalv10000066m;AT2G23450.2.1;0.095;0.3624;0.2621
Thhalv10000068m;AT2G23700.1.1;0.05466;0.2738;0.1997
Thhalv10000069m;AT4G23250.1.1;0.1425;0.3681;0.3871
Thhalv10000070m;AT2G25420.1.1;0.1481;0.2856;0.5188
Thhalv10000072m;AT2G22795.3.1;0.1293;0.5867;0.2205
Thhalv10000073m;AT2G24630.2.1;0.02195;0.2369;0.09266
Thhalv10000074m;AT5G01290.1.1;0.06791;0.4222;0.1609
Thhalv10000075m;AT2G23350.1.1;0.05018;0.3209;0.1564
Thhalv10000076m;AT2G23760.3.1;0.04076;0.2734;0.1491
Thhalv10000077m;AT4G36390.1.1;0.04815;0.3469;0.1388
Thhalv10000078m;AT2G25430.1.1;0.02789;0.5492;0.05078
Thhalv10000079m;AT2G24170.1.1;0.02523;0.4462;0.05654
Thhalv10000080m;AT2G22720.2.1;0.1584;0.4338;0.3652
Thhalv10000081m;AT2G23950.1.1;0.0299;0.2894;0.1033
Thhalv10000082m;AT2G21520.3.1;0.03401;0.3416;0.09957
Thhalv10000083m;AT2G25580.2.1;0.1705;0.52;0.328
Thhalv10000084m;AT1G57820.3.1;0.1098;0.685;0.1602
Thhalv10000085m;AT2G21710.1.1;0.04757;0.3421;0.139
Thhalv10000086m;AT2G25560.1.1;0.1242;0.3536;0.3514
Thhalv10000087m;AT2G25490.1.1;0.06489;0.4434;0.1463
Thhalv10000088m;AT2G24640.1.1;0.06447;0.2541;0.2537
Thhalv10000089m;AT2G21470.1.1;0.03954;0.2248;0.1759
Thhalv10000090m;AT2G22600.1.1;0.1135;0.4315;0.263
Thhalv10000091m;AT2G23770.1.1;0.1015;0.509;0.1993
Thhalv10000093m;AT2G22250.3.1;0.0255;0.3123;0.08166
Thhalv10000094m;AT1G03540.1.1;0.07596;0.378;0.201
Thhalv10000095m;AT2G22910.1.1;0.05954;0.2749;0.2166
Thhalv10000098m;AT2G25180.1.1;0.06206;0.4061;0.1528
Thhalv10000099m;AT2G22830.1.1;0.07727;0.3562;0.217
Thhalv10000101m;AT2G23170.1.1;0.02706;0.4146;0.06526
Thhalv10000102m;AT2G24070.3.1;0.0871;0.3557;0.2449
Thhalv10000103m;AT2G25530.1.1;0.03484;0.2468;0.1412
Thhalv10000104m;AT2G22140.1.1;0.08469;0.262;0.3232
