query_id;subject_id;dN;dS;dNdS
Carubv10000018m;Bradi5g26017.1;0.3583;2.188;0.1638
Carubv10000020m;Bradi3g13757.2;0.5532;NA;NA
Carubv10000021m;Bradi1g21177.1;0.4046;2.382;0.1699
Carubv10000022m;Bradi3g60610.3;0.162;2.487;0.06516
Carubv10000023m;Bradi2g03180.1;0.502;NA;NA
Carubv10000024m;Bradi4g08870.2;0.5775;NA;NA
Carubv10000025m;Bradi1g21280.2;0.3939;3.184;0.1237
Carubv10000026m;Bradi1g19080.1;0.1244;1.799;0.06916
Carubv10000027m;Bradi1g59325.5;0.3268;NA;NA
Carubv10000028m;Bradi1g18770.4;0.5999;NA;NA
Carubv10000030m;Bradi3g34628.1;0.5571;NA;NA
Carubv10000031m;Bradi2g41977.1;0.1473;1.929;0.07636
Carubv10000033m;Bradi2g35587.1;0.4;NA;NA
Carubv10000034m;Bradi2g53020.1;0.6831;NA;NA
Carubv10000037m;Bradi1g16570.1;0.4169;2.064;0.202
Carubv10000038m;Bradi1g39938.1;0.462;2.151;0.2148
Carubv10000039m;Bradi2g20517.2;0.5738;NA;NA
Carubv10000040m;Bradi3g12902.1;0.624;NA;NA
Carubv10000044m;Bradi1g19220.1;0.133;NA;NA
Carubv10000045m;Bradi2g09370.1;0.2985;2.8;0.1066
Carubv10000046m;Bradi1g06200.1;0.3628;NA;NA
Carubv10000047m;Bradi1g16840.2;0.624;NA;NA
Carubv10000048m;Bradi4g29887.1;0.3413;2.142;0.1594
Carubv10000050m;Bradi1g24690.4;0.378;3.094;0.1222
Carubv10000051m;Bradi1g74997.1;0.4909;NA;NA
Carubv10000053m;Bradi1g75470.1;0.1608;1.982;0.08117
Carubv10000054m;Bradi2g22927.2;0.4869;NA;NA
Carubv10000055m;Bradi1g06380.3;0.3553;2.25;0.1579
Carubv10000056m;Bradi2g48082.3;0.5214;NA;NA
Carubv10000057m;Bradi4g29310.2;0.7221;NA;NA
Carubv10000059m;Bradi3g29990.1;0.2239;2.139;0.1047
Carubv10000060m;Bradi1g26607.1;0.1811;NA;NA
Carubv10000061m;Bradi1g73810.4;0.6997;NA;NA
Carubv10000063m;Bradi2g12810.2;0.3161;2.477;0.1276
Carubv10000064m;Bradi1g22600.1;0.4365;NA;NA
Carubv10000067m;Bradi5g08810.1;0.5026;NA;NA
Carubv10000068m;Bradi2g58780.9;0.5591;NA;NA
Carubv10000070m;Bradi1g50530.1;0.3161;2.808;0.1126
Carubv10000071m;Bradi5g14830.1;0.2479;1.979;0.1253
Carubv10000075m;Bradi1g44550.1;0.2311;NA;NA
Carubv10000076m;Bradi5g12757.1;0.4389;NA;NA
Carubv10000077m;Bradi1g08607.1;0.1376;2.229;0.06171
Carubv10000080m;Bradi1g30610.1;0.221;2.304;0.09592
Carubv10000081m;Bradi5g18697.2;0.5548;NA;NA
Carubv10000082m;Bradi3g42670.4;0.4173;1.959;0.213
Carubv10000083m;Bradi4g17287.5;0.2741;2.566;0.1068
Carubv10000084m;Bradi4g26790.1;0.1461;2.173;0.06722
Carubv10000086m;Bradi2g35870.4;0.5783;NA;NA
Carubv10000087m;Bradi4g22690.1;0.2702;NA;NA
Carubv10000088m;Bradi1g16590.3;0.4467;2.447;0.1826
Carubv10000090m;Bradi2g60830.1;0.1849;1.745;0.106
Carubv10000093m;Bradi2g14440.1;0.09942;2.009;0.04948
Carubv10000095m;Bradi1g00887.1;0.1058;2.167;0.04884
Carubv10000096m;Bradi1g59940.3;0.1921;2.778;0.06917
Carubv10000098m;Bradi2g51620.1;0.3582;1.969;0.1819
Carubv10000101m;Bradi1g34100.5;0.1896;2.152;0.08809
Carubv10000102m;Bradi1g34100.9;0.1898;2.161;0.08783
Carubv10000108m;Bradi4g08527.1;0.3252;3.14;0.1036
Carubv10000109m;Bradi1g12140.1;0.1325;1.741;0.07608
Carubv10000110m;Bradi1g19690.1;0.2518;NA;NA
Carubv10000111m;Bradi1g20750.1;0.3946;3.816;0.1034
Carubv10000112m;Bradi4g21750.1;0.3621;NA;NA
Carubv10000113m;Bradi3g20120.1;0.2154;2.092;0.103
Carubv10000114m;Bradi3g32630.1;0.4646;3.163;0.1469
Carubv10000116m;Bradi1g50250.1;0.46;NA;NA
Carubv10000117m;Bradi2g57657.1;0.489;NA;NA
Carubv10000118m;Bradi1g48447.1;0.209;3.39;0.06165
