query_id;subject_id;dN;dS;dNdS
AT1G01010.1.1;333554;0.1064;0.2537;0.4195
AT1G01020.1.1;470181;0.04023;0.1037;0.3879
AT1G01030.1.1;470180;0.01499;0.1265;0.1185
AT1G01040.1.1;333551;0.01347;0.1165;0.1156
AT1G01050.2.1;909874;0;0.175;0
AT1G01060.8.1;470177;0.04495;0.1133;0.3967
AT1G01070.1.1;918864;0.0183;0.1059;0.1728
AT1G01080.1.1;909871;0.03398;0.1056;0.3217
AT1G01090.1.1;470171;0.009104;0.2181;0.04174
AT1G01110.2.1;333544;0.03248;0.122;0.2662
AT1G01120.1.1;918858;0.003072;0.1326;0.02317
AT1G01140.3.1;470161;0.005672;0.1312;0.04324
AT1G01150.3.1;918855;0.1244;0.1779;0.6996
AT1G01160.1.1;918854;0.1046;0.2804;0.3731
AT1G01170.2.1;311317;0;0.3064;0
AT1G01180.1.1;909860;0.03832;0.154;0.2488
AT1G01190.2.1;311315;0.02957;0.1671;0.177
AT1G01200.1.1;470156;0.01905;0.1675;0.1137
AT1G01210.3.1;311313;0.02067;0.154;0.1342
AT1G01220.7.1;470155;0.01569;0.1533;0.1023
AT1G01225.1.1;470154;0.01332;0.1122;0.1187
AT1G01230.1.1;470153;0.002573;0.06798;0.03785
AT1G01240.5.1;470152;0.04328;0.1407;0.3077
AT1G01250.1.1;470149;0.01949;0.0931;0.2093
AT1G01260.3.1;470147;0.0167;0.2088;0.07996
AT1G01280.1.1;470146;0.02626;0.1567;0.1676
AT1G01290.2.1;311305;0.04863;0.2185;0.2226
AT1G01300.1.1;470145;0.01131;0.1757;0.06438
AT1G01305.1.1;470144;0.07632;0.1741;0.4383
AT1G01310.1.1;470143;0.03478;0.07906;0.4399
AT1G01320.1.1;470142;0.02118;0.1008;0.2102
AT1G01340.1.1;470141;0.01613;0.1244;0.1297
AT1G01350.1.1;918833;0.01761;0.1751;0.1006
AT1G01355.1.1;918832;0.08935;0.1964;0.4549
AT1G01360.1.1;909840;0.02711;0.1251;0.2168
AT1G01370.4.1;923625;0.07567;0.1433;0.5281
AT1G01380.1.1;909838;0.01752;0.05681;0.3085
AT1G01390.2.1;470140;0.04763;0.1257;0.379
AT1G01400.1.1;333518;0.1542;0.1496;1.031
AT1G01410.1.1;470139;0.0471;0.1297;0.3633
AT1G01420.2.1;470138;0.05135;0.1113;0.4612
AT1G01430.1.1;470137;0.04625;0.1311;0.3526
AT1G01440.1.1;918823;0.03974;0.1263;0.3147
AT1G01450.1.1;909830;0.06207;0.205;0.3027
AT1G01460.1.1;311290;0.01955;0.1881;0.1039
AT1G01470.1.1;333508;0.02677;0.1458;0.1835
AT1G01480.1.1;918815;0.02185;0.1287;0.1698
AT1G01490.2.1;918814;0.00783;0.1643;0.04766
AT1G01510.1.1;311286;0.006975;0.0982;0.07103
AT1G01530.1.1;909820;0.1396;0.2247;0.6212
AT1G01540.2.1;470125;0.004446;0.2095;0.02122
AT1G01550.2.1;470124;0.01813;0.1498;0.1211
AT1G01560.2.1;918805;0.01172;0.1102;0.1063
AT1G01570.2.1;909816;0.02507;0.1547;0.162
AT1G01580.2.1;470119;0.01659;0.1188;0.1396
AT1G01590.1.1;909813;0.03962;0.111;0.3568
AT1G01600.1.1;918799;0.01161;0.1022;0.1136
AT1G01610.1.1;918798;0.00791;0.09598;0.08241
AT1G01620.1.1;470115;0.002988;0.1127;0.02652
AT1G01630.1.1;470113;0.0226;0.09891;0.2284
AT1G01640.1.1;918795;0.04582;0.1255;0.3651
AT1G01650.1.1;470110;0.006229;0.08685;0.07173
AT1G01660.1.1;333489;0.01445;0.09952;0.1452
AT1G01680.1.1;909804;0.03396;0.09619;0.353
AT1G01690.1.1;909803;0.02963;0.1091;0.2715
AT1G01710.1.1;470104;0.01521;0.08964;0.1697
AT1G01720.1.1;918785;0.007866;0.1286;0.06116
AT1G01730.1.1;470101;0.03949;0.08337;0.4737
AT1G01750.1.1;918780;0.008182;0.0435;0.1881
AT1G01760.2.1;909796;0.03739;0.0926;0.4038
AT1G01770.1.1;470098;0.02411;0.1015;0.2377
AT1G01780.1.1;918777;0.01452;0.09329;0.1556
AT1G01790.2.1;311263;0.02493;0.103;0.242
AT1G01800.1.1;918775;0.02048;0.1112;0.1841
AT1G01810.1.1;470095;0.06744;0.1711;0.3941
AT1G01820.1.1;470094;0.01085;0.1091;0.09951
AT1G01830.3.1;470092;0.01662;0.1341;0.1239
AT1G01840.1.1;918770;0.02227;0.1529;0.1456
AT1G01860.1.1;470090;0.01793;0.1031;0.1739
AT1G01880.3.1;311256;0.02379;0.1234;0.1927
AT1G01900.1.1;909785;0.02562;0.1821;0.1407
AT1G01910.4.1;470088;0.004205;0.1301;0.03231
AT1G01920.2.1;470083;0.0445;0.08854;0.5026
AT1G01930.1.1;470081;0.02639;0.1145;0.2304
AT1G01940.1.1;333465;0.004942;0.1102;0.04484
AT1G01950.1.1;470079;0.005903;0.07394;0.07983
AT1G01960.1.1;470078;0.009292;0.0789;0.1178
AT1G01970.1.1;470077;0.02386;0.1354;0.1762
AT1G01980.1.1;470076;0.0179;0.1328;0.1348
AT1G01990.1.1;470075;0.04471;0.1729;0.2586
AT1G02000.1.1;918756;0.009683;0.1651;0.05866
AT1G02010.1.1;470074;0.002707;0.06121;0.04423
AT1G02020.1.1;333455;0.04032;0.1331;0.303
AT1G02040.1.1;333453;0.01201;0.1007;0.1193
AT1G02050.1.1;470071;0.009531;0.07656;0.1245
AT1G02060.1.1;311240;0.03887;0.1417;0.2742
AT1G02065.1.1;470069;0.03576;0.2264;0.1579
AT1G02070.1.1;470066;0.07732;0.1706;0.4532
AT1G02080.2.1;918742;0.0201;0.1046;0.1922
AT1G02090.1.1;470065;0.01963;0.1329;0.1477
AT1G02100.3.1;918735;0.02917;0.1342;0.2174
AT1G02110.1.1;470059;0.01733;0.08777;0.1974
AT1G02120.1.1;470058;0.02326;0.08977;0.2591
AT1G02130.1.1;918732;0.008643;0.1329;0.06502
AT1G02140.1.1;918728;0.007813;0.07644;0.1022
AT1G02145.3.1;918727;0.01558;0.07293;0.2136
AT1G02150.1.1;918726;0.01939;0.0644;0.3011
AT1G02160.1.1;470051;0.01124;0.04456;0.2522
AT1G02170.1.1;909750;0.002854;0.1529;0.01867
AT1G02180.1.1;470049;0.04591;0.1218;0.377
AT1G02190.1.1;470048;0.05346;0.1264;0.4228
AT1G02205.2.1;918720;0.0311;0.1214;0.2561
AT1G02220.1.1;311334;0.09294;0.1672;0.5559
AT1G02230.1.1;909883;0.0855;0.1526;0.5603
AT1G02260.2.1;470187;0.02572;0.2023;0.1271
AT1G02270.1.1;470188;0.02005;0.1417;0.1415
AT1G02280.2.1;311338;0.006855;0.1046;0.06553
AT1G02290.1.1;918879;0.06031;0.1042;0.5789
AT1G02300.1.1;918880;0.04537;0.1583;0.2866
AT1G02305.1.1;918881;0.009922;0.1011;0.09815
AT1G02310.2.1;470192;0.02321;0.1336;0.1737
AT1G02330.1.1;918883;0.006412;0.1424;0.04502
AT1G02335.1.1;470194;0.01568;0.2129;0.07366
AT1G02340.1.1;333565;0.136;0.2957;0.4601
AT1G02360.3.1;918888;0.01985;0.1447;0.1372
AT1G02370.1.1;470196;0.02914;0.1742;0.1673
AT1G02380.1.1;918891;0.04422;0.1112;0.3975
AT1G02390.1.1;470198;0.03281;0.1447;0.2268
AT1G02400.1.1;909901;0.02344;0.07723;0.3035
AT1G02405.1.1;470200;0.08199;0.1711;0.4792
AT1G02410.3.1;918895;0.01678;0.05171;0.3246
AT1G02420.1.1;470202;0.01646;0.1264;0.1302
AT1G02430.1.1;909905;0.05927;0.0621;0.9544
AT1G02450.1.1;470205;0.03495;0.1279;0.2733
AT1G02460.1.1;918899;0.01443;0.1184;0.1218
AT1G02470.1.1;470207;0.02893;0.105;0.2754
AT1G02475.1.1;311357;0.01871;0.128;0.1462
AT1G02510.1.1;470212;0.02297;0.09223;0.249
AT1G02530.1.1;470213;0.0334;0.1873;0.1783
AT1G02550.1.1;918906;0.02841;0.1278;0.2223
AT1G02560.1.1;918907;0.002992;0.07629;0.03922
AT1G02575.1.1;311362;0.05662;0.1485;0.3813
AT1G02580.1.1;470218;0.06574;0.09849;0.6675
AT1G02610.1.1;909919;0.02809;0.09087;0.3091
AT1G02630.1.1;470221;0.01368;0.1262;0.1084
AT1G02640.1.1;470222;0.01012;0.1235;0.08198
AT1G02650.1.1;470223;0.03267;0.08233;0.3968
AT1G02660.1.1;918918;0.02559;0.14;0.1827
AT1G02680.1.1;918919;0.00736;0.1063;0.06926
AT1G02700.1.1;470228;0.01065;0.1744;0.0611
AT1G02710.1.1;470229;0.06058;0.178;0.3403
AT1G02720.2.1;470231;0.01001;0.07427;0.1347
AT1G02730.1.1;918929;0.009407;0.1276;0.07375
AT1G02740.1.1;470233;0.02205;0.1053;0.2095
AT1G02750.1.1;470234;0.06037;0.102;0.5916
AT1G02770.1.1;913311;0.3279;0.5355;0.6124
AT1G02780.1.1;470235;0.01165;0.045;0.2589
AT1G02790.1.1;918933;0.01063;0.08308;0.128
AT1G02800.1.1;918934;0.01453;0.1124;0.1293
AT1G02810.1.1;333607;0.01573;0.195;0.08068
AT1G02813.1.1;470239;0.03481;0.09759;0.3567
AT1G02816.1.1;470240;0.04843;0.1502;0.3225
AT1G02820.1.1;918938;0.03292;0.1424;0.2312
AT1G02840.2.1;311385;0.01362;0.1792;0.07599
AT1G02850.2.1;909946;0.04082;0.08601;0.4746
