query_id;subject_id;dN;dS;dNdS
AT1G01020.1.1;lcl|NW_010965696.1_cds_XP_010542814.1_17939;0.2395;0.9072;0.264
AT1G01030.1.1;lcl|NW_010967707.1_cds_XP_010556651.1_30297;0.1416;1.162;0.1219
AT1G01040.1.1;lcl|NW_010967707.1_cds_XP_010556639.1_30293;0.08732;0.744;0.1174
AT1G01040.2.1;lcl|NW_010967707.1_cds_XP_010556638.1_30296;0.08784;0.7449;0.1179
AT1G01050.2.1;lcl|NW_010965696.1_cds_XP_010542812.1_17937;0.03153;0.7757;0.04065
AT1G01060.6.1;lcl|NW_010967707.1_cds_XP_010556647.1_30291;0.2392;0.8518;0.2808
AT1G01060.8.1;lcl|NW_010967707.1_cds_XP_010556646.1_30289;0.2038;0.867;0.235
AT1G01070.1.1;lcl|NW_010969548.1_cds_XP_010522883.1_36546;0.2238;1.304;0.1716
AT1G01080.1.1;lcl|NW_010967707.1_cds_XP_010556629.1_30271;0.1589;0.8563;0.1855
AT1G01090.1.1;lcl|NW_010967707.1_cds_XP_010556630.1_30270;0.07587;1.011;0.07507
AT1G01110.2.1;lcl|NW_010967707.1_cds_XP_010556621.1_30268;0.1534;1.385;0.1107
AT1G01120.1.1;lcl|NW_010969548.1_cds_XP_010522897.1_36554;0.08512;0.9585;0.08881
AT1G01140.1.1;lcl|NW_010969548.1_cds_XP_010522895.1_36555;0.09032;0.6568;0.1375
AT1G01170.2.1;lcl|NW_010960188.1_cds_XP_010523899.1_4016;0.09208;1.319;0.0698
AT1G01180.1.1;lcl|NW_010969548.1_cds_XP_010522900.1_36562;0.1216;0.886;0.1373
AT1G01190.2.1;lcl|NW_010969548.1_cds_XP_010522901.1_36563;0.1314;0.8654;0.1518
AT1G01200.1.1;lcl|NW_010969548.1_cds_XP_010522902.1_36564;0.08841;1.445;0.06119
AT1G01225.1.1;lcl|NW_010969548.1_cds_XP_010522903.1_36566;0.09727;1.139;0.08539
AT1G01230.1.1;lcl|NW_010969548.1_cds_XP_010522906.1_36567;0.05614;0.7904;0.07102
