query_id;subject_id;dN;dS;dNdS
Thhalv10000004m;lcl|NW_010965955.1_cds_XP_010545182.1_20002;0.1411;0.7104;0.1986
Thhalv10000006m;lcl|NW_010971389.1_cds_XP_010526122.1_39398;0.09477;0.5484;0.1728
Thhalv10000007m;lcl|NW_010971389.1_cds_XP_010526642.1_39889;0.05659;0.6158;0.0919
Thhalv10000008m;lcl|NW_010966177.1_cds_XP_010548479.1_23053;0.1102;0.627;0.1757
Thhalv10000009m;lcl|NW_010971389.1_cds_XP_010526222.1_39493;0.08227;0.7136;0.1153
Thhalv10000012m;lcl|NW_010963495.1_cds_XP_010531200.1_7597;0.1794;0.8196;0.2189
Thhalv10000014m;lcl|NW_010971389.1_cds_XP_010526238.1_39507;0.1061;0.5573;0.1904
Thhalv10000015m;lcl|NW_010971389.1_cds_XP_010526636.1_39883;0.1114;0.6977;0.1597
Thhalv10000020m;lcl|NW_010971389.1_cds_XP_010525898.1_39184;0.1445;0.6105;0.2366
Thhalv10000021m;lcl|NW_010960187.1_cds_XP_010536313.1_1394;0.4005;1.15;0.3483
Thhalv10000025m;lcl|NW_010963495.1_cds_XP_010531347.1_7745;0.1324;0.7005;0.189
Thhalv10000027m;lcl|NW_010966933.1_cds_XP_010555366.1_29122;0.1777;0.6891;0.2579
Thhalv10000029m;lcl|NW_010966177.1_cds_XP_010548464.1_23041;0.04604;0.8544;0.05388
Thhalv10000030m;lcl|NW_010971389.1_cds_XP_010526301.1_39565;0.06461;0.5107;0.1265
Thhalv10000031m;lcl|NW_010971389.1_cds_XP_010526239.1_39508;0.0873;0.7901;0.1105
Thhalv10000032m;lcl|NW_010966933.1_cds_XP_010555407.1_29161;0.1505;0.6178;0.2435
Thhalv10000036m;lcl|NW_010963495.1_cds_XP_010531351.1_7747;0.1584;0.9911;0.1598
Thhalv10000038m;lcl|NW_010963495.1_cds_XP_010531248.1_7648;0.1127;0.6128;0.1839
Thhalv10000039m;lcl|NW_010963495.1_cds_XP_010531233.1_7635;0.0943;0.7352;0.1283
Thhalv10000040m;lcl|NW_010963495.1_cds_XP_010531252.1_7653;0.2109;0.9441;0.2234
Thhalv10000041m;lcl|NW_010963495.1_cds_XP_010531232.1_7634;0.0869;0.8493;0.1023
Thhalv10000043m;lcl|NW_010963495.1_cds_XP_010531482.1_7875;0.1232;0.7867;0.1566
Thhalv10000045m;lcl|NW_010971389.1_cds_XP_010526295.1_39560;0.09517;0.7121;0.1337
Thhalv10000046m;lcl|NW_010963495.1_cds_XP_010531340.1_7737;0.2023;0.8811;0.2296
Thhalv10000047m;lcl|NW_010963495.1_cds_XP_010531286.1_7674;0.0971;0.7094;0.1369
Thhalv10000050m;lcl|NW_010963495.1_cds_XP_010531362.1_7760;0.1173;0.7179;0.1634
