query_id;subject_id;dN;dS;dNdS
AT1G01010.1.1;Carubv10009049m;0.1118;0.276;0.4052
AT1G01020.1.1;Carubv10011984m;0.08264;0.181;0.4565
AT1G01030.1.1;Carubv10009540m;0.02824;0.2248;0.1256
AT1G01040.1.1;Carubv10008073m;0.02317;0.2349;0.09863
AT1G01050.2.1;Carubv10010288m;0.01063;0.2386;0.04453
AT1G01060.4.1;Carubv10008551m;0.05169;0.2002;0.2582
AT1G01070.1.1;Carubv10009303m;0.08801;0.3165;0.278
AT1G01080.1.1;Carubv10009913m;0.07032;0.2134;0.3294
AT1G01090.1.1;Carubv10009201m;0.01581;0.3457;0.04573
AT1G01110.2.1;Carubv10008796m;0.05539;0.2266;0.2444
AT1G01120.1.1;Carubv10012263m;0.01629;0.2926;0.05568
AT1G01140.1.1;Carubv10009130m;0.01504;0.2364;0.06364
AT1G01150.1.1;Carubv10009814m;0.2164;0.2753;0.7858
AT1G01160.1.1;Carubv10010354m;0.04101;0.3033;0.1352
AT1G01170.2.1;Carubv10010775m;0.02147;0.1478;0.1453
AT1G01180.1.1;Carubv10009834m;0.06208;0.366;0.1696
AT1G01190.2.1;Carubv10008749m;0.03341;0.2823;0.1183
AT1G01200.1.1;Carubv10010167m;0.03387;0.3047;0.1112
AT1G01210.3.1;Carubv10014975m;0.01322;0.3381;0.0391
AT1G01220.7.1;Carubv10028118m;0.0317;0.2616;0.1212
AT1G01225.1.1;Carubv10028051m;0.02673;0.247;0.1082
AT1G01230.1.1;Carubv10010529m;0.008203;0.1576;0.05206
AT1G01240.5.1;Carubv10009712m;0.0559;0.1259;0.4439
AT1G01250.1.1;Carubv10010347m;0.03751;0.4434;0.08459
AT1G01260.3.1;Carubv10008640m;0.03623;0.3351;0.1081
AT1G01280.1.1;Carubv10011315m;0.03557;0.3036;0.1172
AT1G01290.2.1;Carubv10009996m;0.07058;0.3165;0.223
AT1G01300.1.1;Carubv10009005m;0.02747;0.2651;0.1036
AT1G01310.1.1;Carubv10012656m;0.1196;0.4192;0.2852
AT1G01320.3.1;Carubv10011109m;0.03342;0.2016;0.1658
AT1G01340.2.1;Carubv10008437m;0.04958;0.2368;0.2094
AT1G01350.1.1;Carubv10009639m;0.03101;0.2359;0.1314
AT1G01355.3.1;Carubv10010155m;0.293;0.5142;0.5699
AT1G01360.1.1;Carubv10010391m;0.0447;0.4497;0.09942
AT1G01370.4.1;Carubv10010436m;0.153;0.3141;0.4872
AT1G01380.1.1;Carubv10011382m;0.02108;0.105;0.2007
AT1G01390.2.1;Carubv10011054m;0.09088;0.2956;0.3074
AT1G01430.1.1;Carubv10009105m;0.07143;0.2619;0.2727
AT1G01440.1.1;Carubv10008546m;0.07073;0.2962;0.2388
AT1G01450.1.1;Carubv10010980m;0.05045;0.3049;0.1655
