query_id;subject_id;dN;dS;dNdS
Carubv10000005m;AT2G44925.1.1;0.3524;0.8356;0.4217
Carubv10000018m;AT5G23110.1.1;0.03741;0.1515;0.247
Carubv10000019m;AT4G02660.2.1;0.07515;0.1873;0.4013
Carubv10000020m;AT5G24740.2.1;0.05924;0.1603;0.3695
Carubv10000021m;AT4G00450.3.1;0.03718;0.1609;0.2311
Carubv10000022m;AT5G15680.1.1;0.004489;0.1363;0.03294
Carubv10000023m;AT5G02310.3.1;0.05818;0.1355;0.4293
Carubv10000024m;AT5G04560.2.1;0.08707;0.206;0.4227
Carubv10000025m;AT5G10370.1.1;0.06206;0.2013;0.3083
Carubv10000026m;AT5G04140.1.1;0.01367;0.2303;0.05938
Carubv10000027m;AT5G15540.2.1;0.03648;0.169;0.2159
Carubv10000028m;AT5G12400.1.1;0.06568;0.1864;0.3524
Carubv10000030m;AT5G24280.3.1;0.07691;0.227;0.3387
Carubv10000031m;AT5G20490.2.1;0.0141;0.1909;0.07385
Carubv10000032m;AT5G04020.2.1;0.07675;0.2129;0.3606
Carubv10000033m;AT4G02510.4.1;0.05259;0.1806;0.2912
Carubv10000034m;AT5G17910.3.1;0.08666;0.2667;0.325
Carubv10000037m;AT5G01400.3.1;0.05275;0.1997;0.2642
Carubv10000038m;AT4G11270.2.1;0.05123;0.2241;0.2286
Carubv10000039m;AT5G04290.2.1;0.1031;0.319;0.3232
Carubv10000040m;AT5G23150.2.1;0.07645;0.1638;0.4667
Carubv10000043m;AT5G08230.1.1;0.1166;0.2327;0.5013
Carubv10000044m;AT5G13630.1.1;0.01189;0.2802;0.04243
Carubv10000045m;AT5G18700.1.1;0.02794;0.1943;0.1438
Carubv10000046m;AT5G20960.2.1;0.0436;0.2378;0.1834
Carubv10000047m;AT4G02110.1.1;0.1039;0.1836;0.5659
Carubv10000048m;AT4G02070.1.1;0.03838;0.1738;0.2208
Carubv10000050m;AT5G13680.1.1;0.03557;0.1507;0.236
Carubv10000051m;AT5G04240.1.1;0.05336;0.1769;0.3016
Carubv10000053m;AT5G18410.2.1;0.003641;0.1384;0.02631
Carubv10000054m;AT5G02880.1.1;0.05092;0.2052;0.2481
Carubv10000055m;AT5G16280.1.1;0.04406;0.1785;0.2469
Carubv10000056m;AT5G20610.1.1;0.05634;0.1876;0.3003
Carubv10000057m;AT4G09680.4.1;0.09254;0.1784;0.5187
Carubv10000058m;AT5G20420.1.1;0.06605;0.2511;0.2631
Carubv10000059m;AT4G04920.3.1;0.02463;0.1756;0.1403
Carubv10000060m;AT5G13010.1.1;0.03607;0.2061;0.175
Carubv10000061m;AT5G15280.1.1;0.08726;0.253;0.3449
Carubv10000062m;AT4G02710.1.1;0.07692;0.261;0.2947
Carubv10000064m;AT5G07810.1.1;0.06259;0.1986;0.3151
Carubv10000065m;AT5G20730.2.1;0.01622;0.1839;0.08819
Carubv10000067m;AT5G07400.1.1;0.07484;0.219;0.3417
Carubv10000068m;AT5G07280.1.1;0.06035;0.3747;0.1611
Carubv10000069m;AT5G13590.5.1;0.1105;0.1776;0.6219
Carubv10000070m;AT5G26570.1.1;0.02612;0.2001;0.1305
Carubv10000071m;AT5G11040.1.1;0.01575;0.191;0.08246
Carubv10000072m;AT5G27220.3.1;0.145;0.2416;0.6002
Carubv10000074m;AT5G01730.4.1;0.126;0.246;0.5123
Carubv10000075m;AT5G14950.1.1;0.02609;0.2439;0.1069
Carubv10000076m;AT4G11130.1.1;0.04579;0.2482;0.1845
Carubv10000077m;AT5G04895.1.1;0.01652;0.2008;0.08226
Carubv10000079m;AT5G16910.1.1;0.02179;0.2425;0.08986
Carubv10000080m;AT4G10320.1.1;0.04598;0.2359;0.1949
Carubv10000081m;AT4G11670.4.1;0.03374;0.1835;0.1839
Carubv10000082m;AT5G08470.1.1;0.03901;0.1628;0.2396
Carubv10000083m;AT5G13390.1.1;0.0197;0.1986;0.09922
Carubv10000084m;AT5G06460.1.1;0.03012;0.18;0.1674
Carubv10000085m;AT5G19820.1.1;0.01281;0.2318;0.05525
Carubv10000086m;AT5G27650.1.1;0.06486;0.1881;0.3449
Carubv10000087m;AT5G09350.1.1;0.05167;0.2134;0.2421
Carubv10000088m;AT5G05570.1.1;0.03849;0.16;0.2406
Carubv10000089m;AT4G00630.1.1;0.03717;0.2197;0.1692
Carubv10000090m;AT5G19420.1.1;0.02154;0.2008;0.1073
Carubv10000091m;AT4G11110.1.1;0.04915;0.245;0.2006
Carubv10000092m;AT5G11530.3.1;0.06088;0.2075;0.2934
Carubv10000093m;AT4G05420.1.1;0.005146;0.2062;0.02496
Carubv10000094m;AT5G12350.1.1;0.01273;0.1656;0.07688
