query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Bdist_subject_id;Ath_vs_Bdist_dN;Ath_vs_Bdist_dS;Ath_vs_Bdist_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS;Ath_vs_Pabies_subject_id;Ath_vs_Pabies_dN;Ath_vs_Pabies_dS;Ath_vs_Pabies_dNdS
AT1G01090.1.1;470171;0.009104;0.2181;0.04174;Bradi5g01420.1;0.1562;1.978;0.07898;Carubv10009201m;0.01581;0.3457;0.04573;Thhalv10007695m;0.02256;0.4576;0.0493;Medtr8g024310.1;0.1261;1.752;0.07198;MA_10426096g0010;0.1552;1.818;0.08535;lcl|NW_010967707.1_cds_XP_010556630.1_30270;0.07587;1.011;0.07507
AT1G01120.1.1;918858;0.003072;0.1326;0.02317;Bradi1g68430.3;0.2972;NA;NA;Carubv10012263m;0.01629;0.2926;0.05568;Thhalv10007351m;0.02583;0.3082;0.0838;Medtr7g118170.1;0.1779;2.074;0.08577;MA_105806g0010;0.2567;NA;NA;lcl|NW_010969548.1_cds_XP_010522897.1_36554;0.08512;0.9585;0.08881
AT1G01170.2.1;311317;0;0.3064;0;Bradi1g50470.4;0.1974;1.195;0.1653;Carubv10010775m;0.02147;0.1478;0.1453;Thhalv10009224m;0.04254;0.4343;0.09795;Medtr7g091770.2;0.2135;1.76;0.1213;MA_18715g0010;0.4233;NA;NA;lcl|NW_010960188.1_cds_XP_010523899.1_4016;0.09208;1.319;0.0698
AT1G01180.1.1;909860;0.03832;0.154;0.2488;Bradi4g35410.1;0.4742;NA;NA;Carubv10009834m;0.06208;0.366;0.1696;Thhalv10008287m;0.06929;0.4371;0.1585;Medtr8g024680.1;0.2522;1.82;0.1386;MA_161300g0010;0.7416;NA;NA;lcl|NW_010969548.1_cds_XP_010522900.1_36562;0.1216;0.886;0.1373
AT1G01230.1.1;470153;0.002573;0.06798;0.03785;Bradi5g18630.1;0.09825;1.018;0.09646;Carubv10010529m;0.008203;0.1576;0.05206;Thhalv10008983m;0.01124;0.3061;0.03671;Medtr8g027285.1;0.08782;1.292;0.06799;MA_17729g0030;0.09769;NA;NA;lcl|NW_010969548.1_cds_XP_010522906.1_36567;0.05614;0.7904;0.07102
AT1G01260.3.1;470147;0.0167;0.2088;0.07996;Bradi2g08080.1;0.5443;NA;NA;Carubv10008640m;0.03623;0.3351;0.1081;Thhalv10007139m;0.0513;0.4037;0.1271;Medtr8g027495.1;0.3426;2.661;0.1287;MA_4076g0010;0.4923;NA;NA;lcl|NW_010967707.1_cds_XP_010556598.1_30245;0.1325;1.308;0.1013
AT1G01280.1.1;470146;0.02626;0.1567;0.1676;Bradi3g14390.1;0.1811;2.519;0.0719;Carubv10011315m;0.03557;0.3036;0.1172;Thhalv10007395m;0.04045;0.4379;0.09236;Medtr7g087520.1;0.1318;3.592;0.0367;MA_54958g0010;0.5029;NA;NA;lcl|NW_010967707.1_cds_XP_010556597.1_30244;0.07931;0.96;0.08262
AT1G01290.2.1;311305;0.04863;0.2185;0.2226;Bradi5g12400.2;0.3086;NA;NA;Carubv10009996m;0.07058;0.3165;0.223;Thhalv10008544m;0.07783;0.3795;0.2051;Medtr5g015740.1;0.2667;2.402;0.1111;MA_10008335g0010;0.2629;NA;NA;lcl|NW_010969548.1_cds_XP_010522914.1_36574;0.2009;0.7917;0.2537
AT1G01350.1.1;918833;0.01761;0.1751;0.1006;Bradi3g09570.1;0.2625;NA;NA;Carubv10009639m;0.03101;0.2359;0.1314;Thhalv10009432m;0.0321;0.3425;0.09372;Medtr7g109250.3;0.1965;2.273;0.08644;MA_67616g0010;0.2443;NA;NA;lcl|NW_010965372.1_cds_XP_010537446.1_13170;0.09502;0.9577;0.09921
AT1G01470.1.1;333508;0.02677;0.1458;0.1835;Bradi2g15410.1;0.3411;1.846;0.1848;Carubv10010557m;0.005759;0.3716;0.0155;Thhalv10009011m;0.07724;0.4735;0.1631;Medtr7g079180.2;0.2789;1.986;0.1405;MA_121405g0010;0.4884;2.386;0.2047;lcl|NW_010965869.1_cds_XP_010544419.1_19355;0.1696;1.106;0.1533
