# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Alyrata_107_v1	Arabidopsis_thaliana	Bdistachyon_314_v3	Crubella_183_v1	Esalsugineum_173_v1	Mtruncatula_285_Mt4
18783	6915	16194	13460	2581	29863
16013	15399	41030	22855	19688	44123
0	3635	51137	20893	11297	21087
0	3634	51136	20350	0	0
27974	40554	41962	9839	15343	32321
11544	42767	45891	7405	5650	55632
5458	2320	35631	13905	22610	38623
22979	44892	35632	9918	13397	0
13064	24695	26750	6795	6479	42880
0	24696	0	6796	6480	0
22214	31581	0	4046	5360	62168
11897	0	13956	25763	0	35868
4087	8476	0	22031	0	0
21894	30620	47405	24405	19487	10802
0	17755	0	0	5361	59622
11767	40690	7570	3064	27175	4446
25990	2459	36819	18505	9524	31126
0	40555	41961	0	15344	0
8960	621	14571	1924	10143	22818
13962	0	25146	0	22576	62098
7850	29407	0	16235	0	0
0	23594	2430	8029	14969	17426
7969	30581	29548	26771	10244	46872
10197	39519	1095	5628	4707	33139
31869	25939	29931	20872	21559	5421
8826	43401	22741	25363	28172	27842
16253	32252	50396	18449	20991	54130
25537	34727	18826	13912	3052	60871
17411	3188	28621	25908	29112	0
27303	34588	27579	21170	11449	15031
0	41538	2017	15824	9319	46584
0	2434	52787	20703	22143	6908
32604	11893	36820	742	10745	19269
0	43399	22740	0	28171	0
12979	29397	2029	17526	28634	8254
26382	21684	0	0	0	0
8301	22648	24285	10932	14566	17644
16855	44668	49985	8671	15268	4252
12523	20659	10915	26236	24398	44255
15737	11393	45655	5019	8138	22587
5925	23615	51803	24360	26179	48969
7267	42222	41639	5541	19332	5255
0	30580	0	0	10245	0
24195	40909	49966	5077	5052	22770
4862	19723	14260	23336	18759	828
0	25938	29932	20873	21560	34830
22496	42536	44134	10790	14467	13606
17656	43167	35105	17245	28733	18309
15513	26819	2098	16433	9732	18186
8021	42826	41395	17568	9358	22906
5973	20639	50219	3355	8905	15682
2865	13940	1384	9214	14154	5653
23829	9932	42105	0	0	59061
31586	4726	0	0	0	3381
29339	29856	36003	27891	20437	4689
5161	43489	19200	20758	11969	41429
5055	33274	0	3677	7806	0
0	46917	43551	9332	14530	42507
11241	25069	30988	24535	18116	25801
23944	37129	18853	9109	14008	39560
0	11392	45657	0	8137	0
4590	25849	35638	25894	23002	56151
11156	47841	25316	1997	27373	0
1572	14688	21041	3531	5243	6366
10804	24304	47962	8243	16430	9319
10558	34913	24492	0	22248	5935
9716	27559	5785	840	27662	59912
8803	8408	48360	1411	19116	48380
6971	37045	20902	3241	6165	10990
19394	16704	30221	17927	1015	59634
27917	45029	21289	13809	1962	46465
22246	37403	45006	0	3209	12360
10689	39576	51894	0	24262	40403
25003	38638	0	0	7516	12574
17327	19237	6591	16274	28923	42023
14166	34346	33810	13888	2895	46351
23236	42051	10476	15481	1791	47156
6886	16353	0	0	98	12575
7399	44805	0	0	12	0
7965	32247	8279	0	11078	3950
0	26817	0	16434	0	0
0	29399	2030	0	28633	0
5574	45463	50670	13658	2846	50464
5999	42192	8280	0	7692	0
15411	33900	41936	9773	16546	32158
14884	27378	30359	19310	11571	29900
19347	17861	28066	12787	4132	60050
4235	27417	49976	8962	16318	17464
2770	21464	32134	0	4020	44781
0	30623	47407	0	19488	0
13927	46978	0	7296	4612	0
0	38636	0	0	7517	12576
28025	0	0	10614	16050	0
24047	20062	31180	3814	7561	28993
18080	22377	0	15893	1210	30703
21082	34884	40900	12857	4027	38242
21575	5740	51214	4263	7012	7938
8916	5023	33058	16100	1334	5030
0	20658	0	0	24397	0
22978	35672	0	15558	1007	22530
1260	39427	36453	11329	15446	57186
27127	2151	16046	11087	10146	50649
3555	39239	5032	0	17806	58522
12461	39438	43415	26778	18503	30439
11495	41927	0	17288	18164	10997
22748	47797	16431	7146	4225	42
13510	26621	24448	4427	7608	38004
31686	23152	29986	23917	25534	50241
14350	34565	18856	15302	3187	35690
