query_id;subject_id;dN;dS;dNdS
AT1G01060.4.1;Bradi3g16515.1;0.5286;NA;NA
AT1G01080.1.1;Bradi3g13790.1;0.4573;NA;NA
AT1G01090.1.1;Bradi5g01420.1;0.1562;1.978;0.07898
AT1G01120.1.1;Bradi1g68430.3;0.2972;NA;NA
AT1G01140.1.1;Bradi1g76760.3;0.198;1.925;0.1029
AT1G01150.1.1;Bradi3g44217.1;0.4754;NA;NA
AT1G01170.2.1;Bradi1g50470.4;0.1974;1.195;0.1653
AT1G01180.1.1;Bradi4g35410.1;0.4742;NA;NA
AT1G01200.1.1;Bradi1g35120.1;0.2354;1.52;0.1549
AT1G01210.3.1;Bradi3g51447.1;0.5341;NA;NA
AT1G01220.7.1;Bradi1g77547.2;0.2549;2.774;0.09189
AT1G01225.1.1;Bradi4g35800.1;0.2628;NA;NA
AT1G01230.1.1;Bradi5g18630.1;0.09825;1.018;0.09646
AT1G01260.3.1;Bradi2g08080.1;0.5443;NA;NA
AT1G01280.1.1;Bradi3g14390.1;0.1811;2.519;0.0719
AT1G01290.2.1;Bradi5g12400.2;0.3086;NA;NA
AT1G01300.1.1;Bradi2g42650.1;0.3229;2.145;0.1505
AT1G01320.3.1;Bradi1g29090.2;0.3354;2.182;0.1537
AT1G01350.1.1;Bradi3g09570.1;0.2625;NA;NA
AT1G01470.1.1;Bradi2g15410.1;0.3411;1.846;0.1848
AT1G01490.2.1;Bradi1g76770.2;0.2917;1.97;0.1481
AT1G01510.1.1;Bradi1g76791.2;0.2366;2.359;0.1003
AT1G01540.2.1;Bradi1g76840.1;0.2027;4.368;0.04642
AT1G01580.2.1;Bradi5g19150.1;0.3972;2.166;0.1833
AT1G01630.1.1;Bradi1g01630.1;0.3961;NA;NA
AT1G01690.3.1;Bradi1g78151.3;0.5701;NA;NA
AT1G01710.1.1;Bradi5g18080.3;0.262;2.786;0.09404
AT1G01720.1.1;Bradi2g57100.1;0.2342;1.879;0.1246
AT1G01730.1.1;Bradi5g18047.4;0.7205;NA;NA
AT1G01750.1.1;Bradi5g17960.2;0.1209;2.128;0.0568
AT1G01760.3.1;Bradi5g26782.1;0.4684;NA;NA
AT1G01770.1.1;Bradi1g28600.1;0.2805;2.233;0.1256
AT1G01800.1.1;Bradi5g16621.1;0.4353;NA;NA
AT1G01820.1.1;Bradi1g49550.4;0.1339;2.511;0.05333
AT1G01860.1.1;Bradi3g02232.3;0.3491;NA;NA
AT1G01880.3.1;Bradi4g35557.1;0.3873;2.757;0.1405
AT1G01910.4.1;Bradi4g35540.1;0.1558;1.324;0.1177
AT1G01920.2.1;Bradi1g49580.1;0.3904;NA;NA
AT1G01930.1.1;Bradi5g18970.1;0.4072;NA;NA
AT1G01940.1.1;Bradi1g49972.2;0.09267;NA;NA
AT1G01970.1.1;Bradi1g18720.3;0.48;NA;NA
AT1G02000.1.1;Bradi1g68040.1;0.2409;1.592;0.1513
AT1G02020.1.1;Bradi3g22960.4;0.3552;NA;NA
AT1G02030.1.1;Bradi5g17810.1;0.5595;NA;NA
AT1G02040.1.1;Bradi5g17800.2;0.6007;NA;NA
AT1G02050.1.1;Bradi3g29230.1;0.284;NA;NA
AT1G02060.1.1;Bradi3g02140.1;0.5816;NA;NA
AT1G02065.1.1;Bradi1g31391.2;0.5598;NA;NA
AT1G02070.1.1;Bradi3g50700.1;0.4739;NA;NA
AT1G02080.2.1;Bradi3g33190.5;0.3473;2.517;0.138
AT1G02090.1.1;Bradi1g27230.1;0.2424;3.079;0.07872
AT1G02090.3.1;Bradi1g27230.3;0.2805;NA;NA
AT1G02100.3.1;Bradi1g51290.1;0.1778;1.931;0.09206
AT1G02120.1.1;Bradi1g27237.3;0.4794;NA;NA
AT1G02130.1.1;Bradi1g27153.1;0.05851;1.694;0.03455
AT1G02140.1.1;Bradi3g13270.1;0.1065;1.875;0.05681
AT1G02145.3.1;Bradi5g17390.1;0.2676;2.045;0.1308
AT1G02150.1.1;Bradi5g17360.1;0.51;NA;NA
AT1G02170.1.1;Bradi3g33722.4;0.145;NA;NA
AT1G02180.1.1;Bradi3g60910.1;0.4969;2.133;0.2329
AT1G02205.2.1;Bradi3g28460.1;0.3472;NA;NA
AT1G02260.2.1;Bradi3g27800.4;0.2187;1.17;0.187
AT1G02290.1.1;Bradi3g39550.2;0.632;2.913;0.217
AT1G02305.1.1;Bradi1g09737.1;0.2956;1.981;0.1492
AT1G02330.1.1;Bradi1g61360.2;0.2702;NA;NA
AT1G02360.3.1;Bradi2g11140.1;0.39;NA;NA
AT1G02400.1.1;Bradi2g12440.4;0.4649;NA;NA
AT1G02410.3.1;Bradi1g10590.1;0.27;NA;NA
AT1G02420.1.1;Bradi1g70637.1;0.391;NA;NA
AT1G02460.1.1;Bradi2g11380.1;0.3389;NA;NA
AT1G02475.1.1;Bradi2g12300.1;0.3875;2.666;0.1453
AT1G02500.2.1;Bradi2g11250.1;0.04956;1.723;0.02876
AT1G02560.1.1;Bradi1g64430.1;0.1721;2.559;0.06728
AT1G02610.1.1;Bradi2g11577.1;0.5651;1.303;0.4338
AT1G02640.1.1;Bradi2g48457.1;0.3187;NA;NA
AT1G02660.1.1;Bradi2g09060.1;0.3994;NA;NA
AT1G02680.1.1;Bradi1g31307.2;0.1856;1.327;0.1398
AT1G02700.1.1;Bradi1g17930.1;0.5077;1.941;0.2615
AT1G02730.1.1;Bradi4g05027.1;0.2092;NA;NA
AT1G02780.1.1;Bradi1g17920.1;0.1214;NA;NA
AT1G02816.1.1;Bradi2g27900.1;0.4171;NA;NA
AT1G02840.1.1;Bradi1g18070.2;0.235;1.952;0.1204
AT1G02850.2.1;Bradi2g27770.1;0.3949;1.916;0.2061
AT1G02860.1.1;Bradi1g18090.3;0.2943;NA;NA
AT1G02870.1.1;Bradi2g27740.1;0.4157;NA;NA
AT1G02880.2.1;Bradi2g12740.3;0.2481;2.041;0.1216
AT1G02880.3.1;Bradi2g12740.1;0.249;2.119;0.1175
AT1G02890.1.1;Bradi4g10700.2;0.3112;2.409;0.1292
AT1G02910.1.1;Bradi2g12780.1;0.2481;2.758;0.08996
AT1G02960.2.1;Bradi3g53107.4;0.6952;2.832;0.2455
AT1G02970.1.1;Bradi3g03112.6;0.4634;NA;NA
AT1G03000.1.1;Bradi5g21890.1;0.3861;2.374;0.1626
AT1G03010.1.1;Bradi1g62554.1;0.3222;NA;NA
AT1G03030.1.1;Bradi4g02607.2;0.3367;NA;NA
AT1G03050.1.1;Bradi2g24800.1;0.3938;NA;NA
AT1G03055.1.1;Bradi4g14990.2;0.4406;2.822;0.1561
AT1G03060.1.1;Bradi1g08917.1;0.2321;2.077;0.1118
AT1G03070.3.1;Bradi1g08870.1;0.1912;1.634;0.117
AT1G03080.3.1;Bradi4g02420.4;0.6335;NA;NA
