query_id;subject_id;dN;dS;dNdS
Thhalv10000004m;Carubv10025732m;0.07496;0.42;0.1785
Thhalv10000006m;Carubv10025269m;0.0426;0.2415;0.1764
Thhalv10000007m;Carubv10022495m;0.01221;0.2812;0.04342
Thhalv10000008m;Carubv10022496m;0.0486;0.2691;0.1806
Thhalv10000009m;Carubv10022502m;0.04435;0.2964;0.1496
Thhalv10000010m;Carubv10022672m;0.2335;0.6148;0.3798
Thhalv10000012m;Carubv10022510m;0.0954;0.3525;0.2706
Thhalv10000014m;Carubv10025333m;0.04017;0.3027;0.1327
Thhalv10000015m;Carubv10022522m;0.03805;0.2797;0.136
Thhalv10000017m;Carubv10019676m;0.02235;0.3074;0.07271
Thhalv10000018m;Carubv10019674m;0.0976;0.3294;0.2963
Thhalv10000019m;Carubv10022539m;0.1277;0.3357;0.3804
Thhalv10000020m;Carubv10025044m;0.06423;0.2739;0.2345
Thhalv10000021m;Carubv10022536m;0.1659;0.2824;0.5873
Thhalv10000022m;Carubv10022538m;0.04383;0.3431;0.1277
Thhalv10000024m;Carubv10022549m;0.04918;0.2704;0.1819
Thhalv10000025m;Carubv10022542m;0.06957;0.358;0.1943
Thhalv10000027m;Carubv10024738m;0.0592;0.2559;0.2314
Thhalv10000029m;Carubv10022563m;0.0143;0.4175;0.03426
Thhalv10000030m;Carubv10025273m;0.01561;0.2219;0.07038
Thhalv10000031m;Carubv10022572m;0.07052;0.4593;0.1535
Thhalv10000032m;Carubv10022575m;0.08322;0.3362;0.2475
Thhalv10000035m;Carubv10012903m;0.1966;0.4812;0.4085
Thhalv10000036m;Carubv10022593m;0.04677;0.2841;0.1646
Thhalv10000038m;Carubv10024520m;0.04215;0.2539;0.166
Thhalv10000039m;Carubv10022612m;0.0481;0.436;0.1103
Thhalv10000040m;Carubv10022609m;0.1037;0.3238;0.3202
Thhalv10000041m;Carubv10024724m;0.03401;0.3403;0.09996
Thhalv10000042m;Carubv10024975m;0.04384;0.3555;0.1233
Thhalv10000043m;Carubv10025517m;0.04906;0.2745;0.1787
Thhalv10000045m;Carubv10024985m;0.04649;0.2525;0.1842
Thhalv10000046m;Carubv10025635m;0.08892;0.3504;0.2538
Thhalv10000047m;Carubv10022640m;0.04927;0.3383;0.1456
Thhalv10000049m;Carubv10024548m;0.09198;0.3674;0.2503
Thhalv10000050m;Carubv10024783m;0.06378;0.3133;0.2036
Thhalv10000051m;Carubv10025585m;0.04293;0.4591;0.09349
Thhalv10000052m;Carubv10024832m;0.09345;0.4636;0.2016
